"Credit_Limit","Attrition_Flag"
21304,Existing Customer
7577,Existing Customer
3234,Existing Customer
4469,Existing Customer
3616,Attrited Customer
3252,Existing Customer
2358,Existing Customer
3133,Existing Customer
3540,Existing Customer
6990,Existing Customer
1438,Attrited Customer
5214,Existing Customer
5207,Existing Customer
3353,Attrited Customer
2290,Existing Customer
23603,Existing Customer
2601,Existing Customer
6363,Existing Customer
8029,Existing Customer
2410,Existing Customer
3401,Attrited Customer
2260,Existing Customer
17682,Existing Customer
4206,Existing Customer
34516,Existing Customer
5556,Existing Customer
2939,Existing Customer
5362,Existing Customer
27126,Attrited Customer
3342,Existing Customer
14546,Existing Customer
16427,Existing Customer
23218,Existing Customer
3281,Existing Customer
3096,Existing Customer
2052,Existing Customer
9432,Existing Customer
14938,Existing Customer
2221,Existing Customer
5731,Existing Customer
34516,Existing Customer
6985,Existing Customer
24221,Existing Customer
21637,Existing Customer
14543,Existing Customer
9684,Existing Customer
5007,Existing Customer
1616,Existing Customer
19116,Existing Customer
2759,Existing Customer
8249,Attrited Customer
5264,Existing Customer
2826,Existing Customer
12518,Existing Customer
5876,Existing Customer
34516,Existing Customer
9648,Existing Customer
34516,Existing Customer
3265,Existing Customer
6041,Existing Customer
2293,Existing Customer
3378,Existing Customer
5012,Existing Customer
2569,Existing Customer
3471,Existing Customer
34516,Existing Customer
3312,Existing Customer
2578,Existing Customer
2742,Existing Customer
2077,Existing Customer
6265,Existing Customer
7819,Existing Customer
2731,Existing Customer
1438,Attrited Customer
16286,Existing Customer
34516,Existing Customer
2609,Existing Customer
7567,Existing Customer
22770,Existing Customer
3791,Existing Customer
2702,Existing Customer
2555,Existing Customer
2355,Existing Customer
5332,Existing Customer
1443,Existing Customer
10741,Existing Customer
7984,Existing Customer
18584,Existing Customer
34516,Existing Customer
1438,Existing Customer
2478,Existing Customer
34516,Existing Customer
2339,Existing Customer
2726,Existing Customer
1628,Existing Customer
3156,Existing Customer
4745,Existing Customer
19727,Existing Customer
22720,Existing Customer
3751,Existing Customer
1594,Existing Customer
2569,Existing Customer
3104,Existing Customer
2406,Existing Customer
24571,Existing Customer
15534,Existing Customer
12301,Existing Customer
2846,Existing Customer
7231,Existing Customer
2324,Existing Customer
12208,Existing Customer
10021,Existing Customer
2027,Existing Customer
6363,Existing Customer
3920,Existing Customer
9226,Existing Customer
1944,Existing Customer
9599,Existing Customer
28202,Existing Customer
3805,Existing Customer
2733,Existing Customer
3106,Attrited Customer
7477,Existing Customer
29963,Existing Customer
6509,Existing Customer
13450,Attrited Customer
34516,Existing Customer
6347,Existing Customer
3106,Existing Customer
2536,Existing Customer
13048,Existing Customer
16138,Existing Customer
8077,Existing Customer
1929,Attrited Customer
8645,Existing Customer
2185,Attrited Customer
24487,Existing Customer
2567,Existing Customer
4131,Existing Customer
10790,Existing Customer
6884,Existing Customer
13961,Attrited Customer
29801,Existing Customer
13219,Existing Customer
9478,Existing Customer
1491,Existing Customer
9734,Existing Customer
2305,Existing Customer
14241,Existing Customer
23138,Existing Customer
5798,Existing Customer
6880,Existing Customer
2075,Existing Customer
4589,Existing Customer
2317,Attrited Customer
1981,Attrited Customer
6038,Existing Customer
29659,Existing Customer
4320,Attrited Customer
5773,Existing Customer
4503,Attrited Customer
29770,Existing Customer
5014,Existing Customer
3445,Existing Customer
23412,Existing Customer
3044,Existing Customer
3864,Existing Customer
23090,Existing Customer
14035,Existing Customer
2962,Attrited Customer
2201,Existing Customer
2061,Existing Customer
15911,Existing Customer
16867,Attrited Customer
2783,Existing Customer
2972,Attrited Customer
5124,Existing Customer
2880,Existing Customer
5579,Existing Customer
34516,Existing Customer
4394,Existing Customer
18325,Existing Customer
3773,Existing Customer
21684,Existing Customer
1919,Existing Customer
9995,Existing Customer
11910,Existing Customer
2279,Existing Customer
3539,Existing Customer
30579,Existing Customer
24480,Existing Customer
1638,Existing Customer
2947,Existing Customer
5738,Existing Customer
7251,Existing Customer
2641,Existing Customer
16794,Existing Customer
9336,Existing Customer
2763,Existing Customer
17391,Existing Customer
3198,Existing Customer
5100,Existing Customer
3955,Existing Customer
3140,Existing Customer
2264,Existing Customer
6385,Existing Customer
2375,Existing Customer
1963,Existing Customer
4256,Existing Customer
5097,Existing Customer
3228,Existing Customer
2585,Existing Customer
12151,Attrited Customer
34516,Existing Customer
34516,Existing Customer
5504,Existing Customer
10021,Existing Customer
19853,Existing Customer
4969,Existing Customer
3117,Existing Customer
21526,Existing Customer
5504,Existing Customer
7319,Existing Customer
1438,Attrited Customer
2053,Existing Customer
12804,Existing Customer
26443,Existing Customer
3125,Existing Customer
4930,Existing Customer
9476,Existing Customer
11722,Existing Customer
13301,Existing Customer
1438,Attrited Customer
6705,Attrited Customer
19324,Existing Customer
5331,Existing Customer
17625,Existing Customer
17438,Existing Customer
8077,Attrited Customer
3290,Existing Customer
2402,Existing Customer
9256,Existing Customer
3674,Existing Customer
6462,Attrited Customer
1638,Existing Customer
4335,Existing Customer
3233,Existing Customer
34516,Existing Customer
19802,Existing Customer
10953,Existing Customer
11338,Existing Customer
5544,Existing Customer
19665,Existing Customer
2927,Existing Customer
5146,Existing Customer
1704,Attrited Customer
1438,Attrited Customer
2974,Existing Customer
2736,Existing Customer
1438,Existing Customer
34516,Existing Customer
1976,Existing Customer
8714,Existing Customer
8693,Existing Customer
9247,Existing Customer
7717,Existing Customer
4908,Attrited Customer
7222,Attrited Customer
21740,Existing Customer
2323,Attrited Customer
11710,Existing Customer
2278,Existing Customer
4048,Existing Customer
3663,Existing Customer
1438,Attrited Customer
1717,Existing Customer
16813,Existing Customer
16434,Existing Customer
21872,Existing Customer
15897,Existing Customer
7361,Existing Customer
1438,Existing Customer
8628,Existing Customer
18750,Existing Customer
2961,Existing Customer
8308,Existing Customer
3249,Existing Customer
2981,Existing Customer
8829,Existing Customer
7340,Attrited Customer
16952,Existing Customer
20865,Attrited Customer
12240,Existing Customer
5120,Existing Customer
3124,Existing Customer
11261,Existing Customer
2468,Existing Customer
22157,Existing Customer
11477,Existing Customer
3933,Existing Customer
8022,Existing Customer
30271,Attrited Customer
2936,Existing Customer
1438,Existing Customer
6175,Existing Customer
11806,Existing Customer
4734,Existing Customer
6244,Existing Customer
1438,Attrited Customer
23561,Existing Customer
24742,Existing Customer
27560,Attrited Customer
5923,Existing Customer
8581,Existing Customer
3156,Existing Customer
1535,Existing Customer
2122,Attrited Customer
5822,Existing Customer
3537,Existing Customer
34516,Existing Customer
16320,Existing Customer
2407,Existing Customer
3538,Existing Customer
34516,Existing Customer
15459,Existing Customer
4307,Existing Customer
2848,Existing Customer
34516,Existing Customer
15428,Existing Customer
2544,Existing Customer
9959,Attrited Customer
8796,Existing Customer
3428,Existing Customer
1438,Existing Customer
18001,Existing Customer
2680,Existing Customer
4675,Existing Customer
2448,Existing Customer
4049,Existing Customer
8154,Existing Customer
4559,Existing Customer
19354,Existing Customer
2340,Attrited Customer
13848,Existing Customer
2490,Attrited Customer
2578,Existing Customer
34516,Existing Customer
6514,Existing Customer
4051,Existing Customer
11959,Existing Customer
2070,Existing Customer
3636,Existing Customer
11067,Existing Customer
11262,Existing Customer
5108,Existing Customer
2072,Existing Customer
4119,Existing Customer
5903,Existing Customer
5918,Existing Customer
6741,Existing Customer
3880,Existing Customer
22149,Existing Customer
34516,Existing Customer
5450,Existing Customer
7723,Existing Customer
18226,Existing Customer
8128,Existing Customer
5851,Existing Customer
10260,Existing Customer
19843,Existing Customer
2163,Existing Customer
33864,Existing Customer
4531,Existing Customer
2950,Existing Customer
7706,Attrited Customer
3770,Existing Customer
10344,Existing Customer
26437,Existing Customer
3136,Existing Customer
6976,Existing Customer
21134,Existing Customer
2019,Existing Customer
34516,Existing Customer
9959,Existing Customer
2421,Existing Customer
30948,Existing Customer
8070,Existing Customer
4085,Attrited Customer
1888,Existing Customer
14447,Attrited Customer
3785,Existing Customer
2727,Existing Customer
3343,Existing Customer
9786,Attrited Customer
6407,Existing Customer
4158,Existing Customer
21697,Existing Customer
31383,Existing Customer
30883,Existing Customer
8520,Existing Customer
14310,Existing Customer
7793,Existing Customer
4343,Existing Customer
2872,Existing Customer
2967,Existing Customer
2148,Existing Customer
6116,Existing Customer
3312,Attrited Customer
9956,Existing Customer
3888,Existing Customer
30655,Existing Customer
2997,Existing Customer
3386,Existing Customer
25188,Existing Customer
2410,Existing Customer
2378,Existing Customer
8013,Existing Customer
7906,Existing Customer
11501,Existing Customer
13632,Existing Customer
2229,Existing Customer
5158,Existing Customer
2158,Existing Customer
10244,Attrited Customer
10747,Existing Customer
7474,Attrited Customer
3555,Existing Customer
22140,Existing Customer
9457,Attrited Customer
2580,Existing Customer
6224,Existing Customer
3093,Existing Customer
4076,Existing Customer
7349,Existing Customer
2853,Existing Customer
8475,Existing Customer
5559,Existing Customer
2917,Existing Customer
8551,Attrited Customer
10569,Existing Customer
7051,Existing Customer
10117,Existing Customer
26442,Existing Customer
4920,Existing Customer
26750,Existing Customer
34516,Existing Customer
1438,Existing Customer
1869,Existing Customer
14539,Attrited Customer
26977,Existing Customer
4844,Existing Customer
3214,Existing Customer
8004,Attrited Customer
9235,Existing Customer
8837,Existing Customer
1438,Existing Customer
4592,Existing Customer
1438,Attrited Customer
5269,Existing Customer
7410,Existing Customer
12163,Existing Customer
4250,Existing Customer
2799,Existing Customer
18037,Existing Customer
5657,Existing Customer
4646,Existing Customer
2514,Existing Customer
14501,Attrited Customer
8663,Attrited Customer
2333,Existing Customer
3038,Existing Customer
8512,Attrited Customer
19063,Existing Customer
5376,Existing Customer
9173,Existing Customer
34516,Existing Customer
15405,Existing Customer
23991,Existing Customer
1888,Existing Customer
3102,Existing Customer
3170,Existing Customer
34516,Existing Customer
3131,Existing Customer
16868,Attrited Customer
3266,Existing Customer
3556,Existing Customer
9149,Existing Customer
14701,Existing Customer
14825,Existing Customer
10127,Existing Customer
2929,Existing Customer
3735,Existing Customer
2930,Existing Customer
22120,Existing Customer
1438,Existing Customer
1759,Attrited Customer
4829,Attrited Customer
2156,Existing Customer
9521,Existing Customer
26714,Existing Customer
2092,Existing Customer
2834,Existing Customer
4724,Existing Customer
3128,Existing Customer
6414,Attrited Customer
2506,Existing Customer
3460,Existing Customer
9959,Existing Customer
4175,Existing Customer
10264,Existing Customer
4129,Existing Customer
2658,Existing Customer
4589,Existing Customer
2781,Existing Customer
8091,Existing Customer
3417,Existing Customer
9204,Existing Customer
14302,Existing Customer
3187,Existing Customer
6313,Existing Customer
11696,Existing Customer
20371,Existing Customer
34516,Existing Customer
7552,Existing Customer
5561,Existing Customer
1441,Existing Customer
4570,Existing Customer
3870,Existing Customer
12938,Existing Customer
21178,Existing Customer
12182,Existing Customer
3583,Existing Customer
17018,Existing Customer
4203,Attrited Customer
4213,Existing Customer
21548,Existing Customer
2483,Existing Customer
3460,Existing Customer
2615,Existing Customer
2985,Existing Customer
18797,Existing Customer
2859,Existing Customer
2888,Existing Customer
9172,Existing Customer
14281,Existing Customer
7353,Existing Customer
5145,Existing Customer
4753,Existing Customer
2171,Existing Customer
4150,Existing Customer
9106,Existing Customer
2686,Existing Customer
34516,Existing Customer
15017,Existing Customer
4426,Existing Customer
2155,Existing Customer
3238,Existing Customer
14316,Existing Customer
2607,Existing Customer
6231,Existing Customer
3094,Existing Customer
6630,Attrited Customer
1925,Attrited Customer
9452,Existing Customer
2162,Existing Customer
1438,Existing Customer
34516,Existing Customer
2888,Existing Customer
3947,Existing Customer
1830,Existing Customer
7712,Existing Customer
11789,Existing Customer
3073,Existing Customer
34516,Existing Customer
6725,Existing Customer
34516,Attrited Customer
34516,Existing Customer
24545,Existing Customer
1438,Existing Customer
2490,Existing Customer
10074,Existing Customer
2259,Existing Customer
34516,Existing Customer
9519,Existing Customer
1438,Attrited Customer
2372,Existing Customer
4214,Existing Customer
1438,Existing Customer
4331,Existing Customer
1438,Attrited Customer
12643,Attrited Customer
6088,Existing Customer
13873,Attrited Customer
6158,Existing Customer
5638,Existing Customer
2178,Existing Customer
11942,Existing Customer
3914,Existing Customer
3038,Existing Customer
5579,Existing Customer
18693,Existing Customer
2943,Existing Customer
2435,Existing Customer
2077,Existing Customer
9428,Existing Customer
6065,Existing Customer
2174,Existing Customer
3673,Existing Customer
34516,Existing Customer
3368,Existing Customer
7225,Attrited Customer
5202,Existing Customer
6929,Existing Customer
4364,Existing Customer
2400,Existing Customer
25878,Existing Customer
11876,Existing Customer
4740,Existing Customer
3575,Attrited Customer
13363,Existing Customer
3452,Existing Customer
4466,Existing Customer
3030,Existing Customer
2112,Existing Customer
7583,Existing Customer
11760,Existing Customer
2259,Existing Customer
19762,Existing Customer
2803,Existing Customer
25666,Existing Customer
9297,Existing Customer
2999,Existing Customer
4234,Existing Customer
15987,Existing Customer
16435,Existing Customer
5335,Existing Customer
3506,Existing Customer
3610,Existing Customer
3172,Existing Customer
2416,Existing Customer
2458,Existing Customer
1677,Existing Customer
11819,Existing Customer
1459,Existing Customer
1458,Existing Customer
1438,Existing Customer
7758,Attrited Customer
10836,Existing Customer
5062,Existing Customer
2212,Existing Customer
5927,Existing Customer
3126,Existing Customer
4670,Existing Customer
10155,Existing Customer
15242,Existing Customer
34516,Existing Customer
1438,Existing Customer
34516,Existing Customer
16043,Existing Customer
3181,Attrited Customer
27088,Existing Customer
5688,Existing Customer
10462,Existing Customer
5249,Attrited Customer
10705,Existing Customer
16494,Existing Customer
6469,Existing Customer
2800,Existing Customer
5248,Existing Customer
5881,Existing Customer
1467,Existing Customer
4999,Existing Customer
8638,Existing Customer
9343,Existing Customer
2256,Existing Customer
8267,Existing Customer
2235,Existing Customer
3735,Existing Customer
2111,Attrited Customer
21782,Existing Customer
2133,Existing Customer
16677,Existing Customer
2717,Existing Customer
3980,Existing Customer
2227,Existing Customer
34516,Existing Customer
1860,Existing Customer
4559,Existing Customer
4701,Existing Customer
1631,Existing Customer
2304,Existing Customer
5210,Existing Customer
5452,Existing Customer
7475,Existing Customer
2359,Existing Customer
1438,Existing Customer
2066,Existing Customer
34516,Existing Customer
2742,Existing Customer
20050,Existing Customer
3046,Existing Customer
6193,Existing Customer
5634,Existing Customer
4507,Existing Customer
3040,Existing Customer
21006,Existing Customer
7326,Existing Customer
3651,Attrited Customer
6085,Existing Customer
22332,Existing Customer
4429,Existing Customer
3991,Existing Customer
2201,Existing Customer
2852,Existing Customer
9723,Existing Customer
5325,Existing Customer
5413,Existing Customer
4252,Existing Customer
2031,Existing Customer
3327,Existing Customer
7272,Existing Customer
34516,Existing Customer
2515,Existing Customer
2798,Existing Customer
34516,Existing Customer
1438,Existing Customer
12609,Existing Customer
19159,Existing Customer
9642,Existing Customer
8396,Existing Customer
6978,Existing Customer
2459,Existing Customer
12956,Existing Customer
7128,Existing Customer
2193,Existing Customer
4522,Existing Customer
2157,Existing Customer
11927,Existing Customer
6036,Existing Customer
2096,Existing Customer
1906,Existing Customer
6214,Attrited Customer
1512,Existing Customer
34516,Existing Customer
3346,Existing Customer
34516,Attrited Customer
6660,Existing Customer
2234,Existing Customer
9671,Existing Customer
6605,Existing Customer
3083,Existing Customer
5456,Attrited Customer
4088,Existing Customer
3930,Existing Customer
4188,Existing Customer
11521,Existing Customer
2253,Existing Customer
30503,Existing Customer
4596,Existing Customer
5701,Attrited Customer
3221,Existing Customer
3022,Existing Customer
2699,Existing Customer
2210,Existing Customer
1438,Existing Customer
2041,Existing Customer
3250,Existing Customer
1643,Existing Customer
3158,Existing Customer
2972,Existing Customer
5645,Existing Customer
2463,Existing Customer
1438,Existing Customer
34516,Existing Customer
2897,Existing Customer
5391,Existing Customer
23959,Existing Customer
14918,Existing Customer
3590,Existing Customer
2297,Existing Customer
25058,Existing Customer
7418,Attrited Customer
1578,Existing Customer
2094,Existing Customer
4138,Existing Customer
34516,Existing Customer
9592,Existing Customer
8881,Existing Customer
1438,Existing Customer
3893,Existing Customer
6035,Existing Customer
4327,Existing Customer
34516,Attrited Customer
10320,Existing Customer
3297,Existing Customer
9981,Existing Customer
3329,Existing Customer
5991,Existing Customer
3235,Existing Customer
6259,Existing Customer
2541,Existing Customer
21351,Existing Customer
20311,Existing Customer
33182,Existing Customer
1686,Existing Customer
4742,Attrited Customer
1726,Existing Customer
8420,Existing Customer
3352,Existing Customer
6648,Existing Customer
2335,Existing Customer
12397,Existing Customer
1438,Existing Customer
2240,Existing Customer
1795,Existing Customer
5741,Existing Customer
25662,Existing Customer
22103,Existing Customer
1438,Existing Customer
12355,Attrited Customer
2000,Existing Customer
8713,Existing Customer
11583,Existing Customer
1438,Existing Customer
3616,Attrited Customer
9791,Existing Customer
8444,Existing Customer
2228,Existing Customer
12211,Attrited Customer
1438,Existing Customer
1586,Existing Customer
2247,Existing Customer
2789,Existing Customer
4241,Existing Customer
4112,Existing Customer
15578,Existing Customer
4008,Existing Customer
3438,Existing Customer
16692,Existing Customer
4066,Existing Customer
1934,Existing Customer
3615,Existing Customer
2665,Existing Customer
28822,Existing Customer
14632,Existing Customer
3360,Existing Customer
14853,Existing Customer
4800,Existing Customer
1438,Existing Customer
8377,Existing Customer
4147,Existing Customer
2644,Existing Customer
2100,Existing Customer
13003,Existing Customer
2492,Existing Customer
1758,Existing Customer
5510,Existing Customer
17196,Existing Customer
5877,Existing Customer
7667,Existing Customer
2939,Existing Customer
2773,Existing Customer
3323,Existing Customer
3601,Existing Customer
2307,Existing Customer
3742,Existing Customer
2937,Existing Customer
12554,Existing Customer
4702,Existing Customer
14308,Existing Customer
4882,Attrited Customer
33405,Existing Customer
2700,Existing Customer
2934,Existing Customer
5750,Existing Customer
27157,Existing Customer
12830,Existing Customer
2684,Existing Customer
2437,Existing Customer
3827,Existing Customer
34516,Existing Customer
5940,Existing Customer
13162,Attrited Customer
1963,Existing Customer
18713,Existing Customer
3023,Existing Customer
6103,Existing Customer
10607,Existing Customer
2917,Existing Customer
34516,Existing Customer
25197,Existing Customer
2743,Existing Customer
3178,Existing Customer
11444,Existing Customer
1438,Existing Customer
6387,Existing Customer
5657,Existing Customer
2608,Existing Customer
3203,Existing Customer
2472,Existing Customer
2147,Existing Customer
3416,Existing Customer
1606,Existing Customer
24336,Existing Customer
5030,Existing Customer
3517,Existing Customer
7400,Existing Customer
2956,Existing Customer
12778,Attrited Customer
1942,Existing Customer
29961,Existing Customer
33791,Existing Customer
17657,Existing Customer
2821,Existing Customer
1479,Existing Customer
1438,Existing Customer
6859,Existing Customer
3404,Existing Customer
2158,Existing Customer
1890,Attrited Customer
18386,Attrited Customer
5634,Existing Customer
5478,Existing Customer
13046,Existing Customer
8687,Existing Customer
6174,Existing Customer
5655,Existing Customer
5397,Existing Customer
28465,Existing Customer
3444,Existing Customer
2104,Existing Customer
15610,Existing Customer
5462,Existing Customer
2685,Existing Customer
5238,Existing Customer
4561,Existing Customer
13091,Existing Customer
7087,Existing Customer
34516,Existing Customer
10266,Existing Customer
6732,Existing Customer
12181,Existing Customer
7056,Existing Customer
14365,Existing Customer
11473,Existing Customer
23996,Existing Customer
2998,Existing Customer
2405,Existing Customer
21927,Existing Customer
3906,Existing Customer
10029,Existing Customer
4934,Existing Customer
13882,Existing Customer
4116,Existing Customer
13904,Existing Customer
2509,Existing Customer
2484,Existing Customer
2780,Existing Customer
18102,Existing Customer
4532,Existing Customer
22399,Existing Customer
4489,Existing Customer
1864,Existing Customer
1935,Existing Customer
6784,Existing Customer
19127,Existing Customer
32641,Existing Customer
1438,Existing Customer
2417,Existing Customer
17603,Existing Customer
2894,Existing Customer
16730,Existing Customer
3282,Existing Customer
1672,Existing Customer
8121,Existing Customer
3182,Existing Customer
5061,Attrited Customer
6224,Existing Customer
2464,Existing Customer
3477,Existing Customer
3242,Existing Customer
27858,Existing Customer
1438,Existing Customer
34516,Existing Customer
6361,Existing Customer
2490,Existing Customer
14057,Existing Customer
7766,Existing Customer
21308,Existing Customer
4516,Existing Customer
5424,Existing Customer
1764,Existing Customer
1493,Attrited Customer
17539,Existing Customer
34516,Existing Customer
2149,Existing Customer
6256,Existing Customer
4075,Attrited Customer
7290,Existing Customer
5965,Existing Customer
9007,Existing Customer
6077,Existing Customer
1808,Existing Customer
12810,Existing Customer
3118,Existing Customer
20013,Existing Customer
1973,Existing Customer
4108,Existing Customer
20741,Existing Customer
16335,Existing Customer
5712,Existing Customer
5335,Existing Customer
8592,Existing Customer
1910,Existing Customer
6210,Existing Customer
2220,Existing Customer
3539,Existing Customer
9274,Existing Customer
3187,Existing Customer
2802,Attrited Customer
2334,Existing Customer
1438,Existing Customer
34516,Existing Customer
11906,Existing Customer
2224,Existing Customer
3454,Existing Customer
5723,Existing Customer
4061,Existing Customer
4189,Existing Customer
2228,Existing Customer
3261,Attrited Customer
8014,Existing Customer
10980,Existing Customer
3092,Existing Customer
14315,Existing Customer
1648,Existing Customer
1730,Attrited Customer
13768,Existing Customer
1705,Existing Customer
8673,Existing Customer
6391,Existing Customer
11102,Existing Customer
24765,Existing Customer
31864,Existing Customer
5346,Existing Customer
2801,Existing Customer
3148,Existing Customer
7535,Existing Customer
33180,Attrited Customer
2986,Existing Customer
2601,Existing Customer
3380,Existing Customer
2730,Existing Customer
3324,Attrited Customer
2665,Existing Customer
5015,Existing Customer
6905,Existing Customer
19136,Existing Customer
7453,Existing Customer
4945,Existing Customer
27992,Attrited Customer
3735,Existing Customer
6162,Existing Customer
3337,Existing Customer
2205,Existing Customer
4450,Existing Customer
4323,Existing Customer
4145,Existing Customer
2032,Existing Customer
7010,Existing Customer
3205,Existing Customer
5930,Existing Customer
2235,Existing Customer
2047,Existing Customer
2636,Existing Customer
6425,Existing Customer
2902,Existing Customer
4002,Existing Customer
5175,Existing Customer
31258,Existing Customer
2683,Existing Customer
11638,Attrited Customer
8276,Existing Customer
2352,Existing Customer
11371,Existing Customer
34516,Existing Customer
6690,Existing Customer
4439,Existing Customer
5344,Existing Customer
27310,Existing Customer
2531,Existing Customer
9096,Existing Customer
34516,Attrited Customer
5399,Existing Customer
6315,Existing Customer
3946,Existing Customer
12291,Existing Customer
3067,Existing Customer
1438,Existing Customer
8633,Existing Customer
11374,Attrited Customer
6921,Existing Customer
2564,Existing Customer
1826,Existing Customer
2926,Existing Customer
7061,Existing Customer
9620,Existing Customer
2539,Existing Customer
3451,Existing Customer
5764,Existing Customer
18278,Existing Customer
16059,Existing Customer
3152,Existing Customer
12464,Attrited Customer
1950,Existing Customer
7478,Existing Customer
1438,Existing Customer
1707,Existing Customer
2370,Existing Customer
3478,Existing Customer
1539,Existing Customer
1438,Attrited Customer
3142,Existing Customer
1438,Existing Customer
13206,Existing Customer
2480,Existing Customer
4460,Existing Customer
1544,Existing Customer
4153,Existing Customer
3685,Existing Customer
8902,Existing Customer
2944,Existing Customer
2232,Existing Customer
23622,Existing Customer
3326,Existing Customer
6116,Existing Customer
11352,Existing Customer
4138,Existing Customer
8374,Existing Customer
7049,Existing Customer
3851,Existing Customer
15936,Existing Customer
2926,Existing Customer
10305,Existing Customer
2987,Existing Customer
34516,Existing Customer
6275,Existing Customer
7185,Existing Customer
3281,Existing Customer
3077,Existing Customer
2042,Existing Customer
2001,Existing Customer
3625,Existing Customer
7803,Existing Customer
5951,Existing Customer
15796,Attrited Customer
5381,Existing Customer
3556,Existing Customer
2661,Existing Customer
3506,Existing Customer
2066,Existing Customer
2774,Existing Customer
11329,Existing Customer
9055,Existing Customer
17393,Existing Customer
5908,Existing Customer
5825,Existing Customer
3665,Existing Customer
3797,Existing Customer
3478,Existing Customer
13734,Existing Customer
3034,Existing Customer
2973,Existing Customer
24296,Existing Customer
8969,Existing Customer
2550,Existing Customer
10357,Attrited Customer
3586,Existing Customer
1640,Existing Customer
3422,Existing Customer
32938,Attrited Customer
2507,Existing Customer
6184,Attrited Customer
16659,Existing Customer
2203,Existing Customer
3074,Existing Customer
2584,Existing Customer
14938,Existing Customer
1818,Attrited Customer
14926,Existing Customer
2827,Existing Customer
2773,Existing Customer
16033,Existing Customer
3213,Existing Customer
3616,Existing Customer
5924,Existing Customer
14535,Existing Customer
2833,Existing Customer
