"Total_Revolving_Bal","Attrition_Flag"
1779,Existing Customer
2395,Existing Customer
1649,Existing Customer
2207,Existing Customer
2517,Existing Customer
1721,Existing Customer
1955,Existing Customer
1168,Existing Customer
1202,Existing Customer
1835,Existing Customer
1272,Existing Customer
2295,Existing Customer
1141,Existing Customer
679,Existing Customer
1789,Existing Customer
0,Existing Customer
2222,Existing Customer
1304,Existing Customer
1666,Existing Customer
1025,Attrited Customer
1748,Existing Customer
1644,Existing Customer
1819,Existing Customer
1301,Existing Customer
1833,Attrited Customer
1222,Existing Customer
1475,Existing Customer
0,Attrited Customer
0,Attrited Customer
1289,Existing Customer
1650,Existing Customer
0,Attrited Customer
1532,Existing Customer
2480,Existing Customer
1486,Existing Customer
1125,Existing Customer
1054,Attrited Customer
1495,Existing Customer
1152,Existing Customer
1510,Existing Customer
849,Existing Customer
1378,Existing Customer
0,Attrited Customer
795,Existing Customer
1650,Existing Customer
0,Attrited Customer
1434,Existing Customer
0,Existing Customer
0,Existing Customer
1029,Existing Customer
1576,Existing Customer
1769,Existing Customer
0,Attrited Customer
1007,Existing Customer
2481,Existing Customer
1100,Existing Customer
1440,Existing Customer
1711,Existing Customer
1999,Existing Customer
1274,Existing Customer
0,Attrited Customer
2517,Existing Customer
1703,Existing Customer
1682,Existing Customer
1814,Existing Customer
837,Existing Customer
2217,Existing Customer
1250,Existing Customer
1418,Existing Customer
2303,Existing Customer
1343,Existing Customer
1577,Existing Customer
2061,Existing Customer
1130,Existing Customer
1707,Existing Customer
2030,Existing Customer
0,Existing Customer
2475,Existing Customer
930,Existing Customer
1047,Existing Customer
0,Existing Customer
2223,Existing Customer
1381,Attrited Customer
2169,Existing Customer
2070,Existing Customer
1539,Existing Customer
1297,Existing Customer
0,Existing Customer
1926,Existing Customer
2177,Existing Customer
2517,Existing Customer
1355,Existing Customer
1823,Existing Customer
1069,Existing Customer
2242,Existing Customer
1605,Existing Customer
1785,Existing Customer
1699,Existing Customer
1844,Existing Customer
2462,Existing Customer
2321,Existing Customer
1571,Existing Customer
1942,Existing Customer
1560,Existing Customer
1692,Existing Customer
537,Attrited Customer
1710,Existing Customer
0,Existing Customer
2439,Existing Customer
1173,Existing Customer
2517,Existing Customer
1648,Existing Customer
2517,Existing Customer
2117,Existing Customer
1090,Existing Customer
0,Existing Customer
1375,Existing Customer
755,Existing Customer
1503,Existing Customer
2517,Existing Customer
2165,Existing Customer
0,Existing Customer
2031,Existing Customer
2274,Existing Customer
1440,Existing Customer
0,Existing Customer
969,Existing Customer
1644,Existing Customer
1270,Existing Customer
1785,Existing Customer
793,Existing Customer
1521,Existing Customer
1411,Existing Customer
1403,Existing Customer
1766,Existing Customer
1560,Existing Customer
1955,Existing Customer
726,Existing Customer
2250,Existing Customer
1818,Existing Customer
2381,Existing Customer
1576,Existing Customer
1980,Existing Customer
1617,Existing Customer
1480,Existing Customer
1162,Existing Customer
2008,Existing Customer
1233,Existing Customer
1346,Existing Customer
1554,Existing Customer
843,Existing Customer
2233,Existing Customer
1306,Existing Customer
1120,Attrited Customer
0,Existing Customer
2094,Existing Customer
2033,Existing Customer
0,Attrited Customer
1254,Existing Customer
0,Existing Customer
1675,Existing Customer
913,Existing Customer
1954,Existing Customer
1249,Existing Customer
1965,Existing Customer
1673,Attrited Customer
1454,Existing Customer
0,Attrited Customer
2517,Existing Customer
0,Existing Customer
785,Existing Customer
1930,Existing Customer
1001,Existing Customer
1299,Attrited Customer
1916,Existing Customer
0,Existing Customer
820,Existing Customer
0,Existing Customer
0,Existing Customer
1627,Existing Customer
2081,Existing Customer
1727,Existing Customer
1794,Existing Customer
1390,Existing Customer
1469,Existing Customer
0,Existing Customer
0,Attrited Customer
1518,Attrited Customer
0,Existing Customer
1143,Existing Customer
0,Attrited Customer
0,Existing Customer
0,Attrited Customer
1565,Existing Customer
1910,Existing Customer
1074,Existing Customer
1078,Existing Customer
1611,Existing Customer
1654,Existing Customer
839,Existing Customer
2061,Existing Customer
2517,Attrited Customer
1138,Existing Customer
1483,Existing Customer
896,Existing Customer
0,Attrited Customer
1526,Existing Customer
0,Attrited Customer
2235,Existing Customer
2362,Existing Customer
0,Existing Customer
1597,Existing Customer
885,Existing Customer
723,Existing Customer
1972,Existing Customer
1748,Existing Customer
774,Existing Customer
1713,Existing Customer
2098,Existing Customer
1529,Existing Customer
0,Existing Customer
1351,Existing Customer
1923,Existing Customer
0,Existing Customer
2216,Existing Customer
1112,Existing Customer
1603,Existing Customer
1257,Existing Customer
809,Existing Customer
1672,Existing Customer
2517,Existing Customer
1044,Existing Customer
2493,Existing Customer
1786,Existing Customer
2517,Existing Customer
1985,Existing Customer
0,Existing Customer
1535,Existing Customer
1658,Existing Customer
1721,Existing Customer
1084,Existing Customer
1152,Existing Customer
2517,Existing Customer
2019,Existing Customer
1799,Attrited Customer
2113,Existing Customer
1013,Existing Customer
0,Existing Customer
1203,Existing Customer
1513,Existing Customer
838,Existing Customer
1603,Existing Customer
2332,Existing Customer
1412,Existing Customer
1692,Existing Customer
0,Attrited Customer
0,Existing Customer
2517,Existing Customer
1601,Existing Customer
1928,Existing Customer
2259,Existing Customer
0,Existing Customer
1667,Existing Customer
0,Existing Customer
0,Attrited Customer
0,Attrited Customer
1040,Existing Customer
1993,Existing Customer
894,Existing Customer
0,Existing Customer
0,Attrited Customer
1616,Existing Customer
1728,Existing Customer
1999,Existing Customer
895,Existing Customer
0,Attrited Customer
0,Existing Customer
2480,Existing Customer
1034,Existing Customer
1938,Existing Customer
1961,Existing Customer
1945,Existing Customer
0,Existing Customer
1184,Existing Customer
706,Existing Customer
1412,Existing Customer
1618,Existing Customer
0,Attrited Customer
0,Attrited Customer
1170,Existing Customer
1822,Existing Customer
862,Existing Customer
2174,Existing Customer
1311,Existing Customer
2252,Existing Customer
1378,Existing Customer
710,Existing Customer
1430,Existing Customer
0,Attrited Customer
0,Attrited Customer
0,Existing Customer
0,Attrited Customer
693,Existing Customer
845,Existing Customer
1113,Existing Customer
1853,Existing Customer
0,Attrited Customer
0,Existing Customer
1185,Existing Customer
2104,Existing Customer
1118,Existing Customer
1437,Existing Customer
1309,Existing Customer
479,Existing Customer
1077,Existing Customer
1705,Existing Customer
1570,Existing Customer
2517,Existing Customer
2217,Existing Customer
1358,Existing Customer
901,Existing Customer
0,Attrited Customer
0,Existing Customer
0,Attrited Customer
1566,Existing Customer
0,Existing Customer
1593,Existing Customer
2485,Existing Customer
2021,Existing Customer
1355,Existing Customer
0,Existing Customer
852,Existing Customer
1372,Existing Customer
1406,Attrited Customer
2379,Existing Customer
1133,Existing Customer
1166,Existing Customer
1811,Existing Customer
954,Existing Customer
2517,Existing Customer
306,Attrited Customer
864,Existing Customer
1676,Existing Customer
900,Attrited Customer
1686,Existing Customer
2326,Existing Customer
2517,Existing Customer
700,Existing Customer
554,Attrited Customer
2387,Existing Customer
2517,Existing Customer
2129,Existing Customer
0,Existing Customer
843,Existing Customer
0,Existing Customer
2517,Existing Customer
0,Existing Customer
0,Existing Customer
1468,Existing Customer
1266,Existing Customer
1553,Existing Customer
1927,Existing Customer
0,Attrited Customer
2517,Existing Customer
1566,Existing Customer
0,Existing Customer
906,Existing Customer
1753,Existing Customer
1734,Existing Customer
1693,Existing Customer
0,Existing Customer
996,Existing Customer
1571,Existing Customer
984,Existing Customer
1930,Attrited Customer
1389,Existing Customer
513,Attrited Customer
2517,Existing Customer
0,Existing Customer
2258,Existing Customer
1183,Existing Customer
1665,Existing Customer
0,Existing Customer
1010,Existing Customer
2517,Existing Customer
1435,Existing Customer
1656,Existing Customer
1543,Existing Customer
1656,Existing Customer
1335,Existing Customer
842,Existing Customer
1745,Existing Customer
1542,Existing Customer
987,Existing Customer
1542,Existing Customer
967,Existing Customer
1902,Existing Customer
1847,Existing Customer
1846,Existing Customer
1660,Existing Customer
942,Existing Customer
1178,Existing Customer
0,Existing Customer
989,Existing Customer
1214,Existing Customer
1705,Existing Customer
392,Attrited Customer
1197,Existing Customer
1274,Existing Customer
1472,Existing Customer
1864,Existing Customer
0,Existing Customer
1508,Existing Customer
1380,Existing Customer
668,Existing Customer
1890,Existing Customer
1747,Existing Customer
2404,Existing Customer
2350,Existing Customer
2238,Attrited Customer
0,Existing Customer
0,Attrited Customer
1935,Existing Customer
834,Existing Customer
1581,Existing Customer
0,Attrited Customer
1884,Existing Customer
1635,Existing Customer
2144,Existing Customer
1688,Existing Customer
1694,Existing Customer
814,Existing Customer
694,Existing Customer
1705,Existing Customer
0,Existing Customer
2035,Existing Customer
1843,Existing Customer
1545,Existing Customer
2517,Existing Customer
0,Attrited Customer
1117,Existing Customer
1663,Existing Customer
0,Existing Customer
1393,Existing Customer
1794,Existing Customer
1295,Existing Customer
1705,Existing Customer
1610,Existing Customer
2025,Existing Customer
1631,Existing Customer
713,Existing Customer
1482,Existing Customer
1791,Existing Customer
2190,Existing Customer
1729,Existing Customer
861,Attrited Customer
1603,Existing Customer
0,Attrited Customer
0,Existing Customer
733,Existing Customer
350,Attrited Customer
2265,Existing Customer
1892,Existing Customer
2517,Existing Customer
0,Existing Customer
2517,Existing Customer
2420,Existing Customer
1385,Existing Customer
658,Existing Customer
2127,Existing Customer
1067,Attrited Customer
0,Existing Customer
0,Existing Customer
2242,Existing Customer
1642,Existing Customer
1142,Existing Customer
1204,Existing Customer
1347,Existing Customer
747,Existing Customer
758,Existing Customer
0,Attrited Customer
1961,Existing Customer
1576,Existing Customer
2257,Existing Customer
1452,Attrited Customer
1479,Existing Customer
2103,Existing Customer
673,Existing Customer
1635,Existing Customer
0,Attrited Customer
1099,Existing Customer
2517,Existing Customer
2082,Existing Customer
1095,Existing Customer
1762,Existing Customer
0,Existing Customer
1719,Existing Customer
1730,Existing Customer
1521,Existing Customer
0,Attrited Customer
288,Attrited Customer
1485,Existing Customer
1539,Existing Customer
0,Attrited Customer
1714,Existing Customer
1177,Existing Customer
2047,Existing Customer
1726,Existing Customer
1691,Existing Customer
2307,Existing Customer
1292,Existing Customer
2091,Existing Customer
2517,Existing Customer
1901,Existing Customer
629,Existing Customer
0,Attrited Customer
1900,Existing Customer
2172,Existing Customer
1566,Existing Customer
1635,Existing Customer
962,Existing Customer
1873,Existing Customer
2431,Existing Customer
1176,Existing Customer
2024,Existing Customer
1805,Existing Customer
681,Existing Customer
0,Attrited Customer
2418,Attrited Customer
1208,Existing Customer
1669,Existing Customer
2517,Existing Customer
1387,Existing Customer
1418,Existing Customer
2056,Existing Customer
2517,Existing Customer
0,Attrited Customer
0,Existing Customer
2517,Existing Customer
2377,Existing Customer
2517,Existing Customer
2073,Existing Customer
0,Existing Customer
1514,Existing Customer
1240,Existing Customer
1035,Existing Customer
1996,Existing Customer
2517,Existing Customer
845,Existing Customer
2097,Existing Customer
2517,Existing Customer
782,Existing Customer
2288,Existing Customer
1832,Existing Customer
1043,Existing Customer
0,Existing Customer
1434,Existing Customer
0,Existing Customer
2439,Existing Customer
1394,Existing Customer
661,Existing Customer
1796,Existing Customer
1136,Existing Customer
0,Existing Customer
0,Existing Customer
2517,Attrited Customer
997,Existing Customer
1180,Existing Customer
1372,Existing Customer
1881,Existing Customer
1772,Existing Customer
2355,Existing Customer
2158,Existing Customer
2517,Existing Customer
2245,Existing Customer
1567,Existing Customer
1519,Existing Customer
1450,Existing Customer
0,Existing Customer
2472,Existing Customer
1418,Existing Customer
456,Existing Customer
2477,Existing Customer
1733,Existing Customer
549,Existing Customer
1733,Existing Customer
1530,Existing Customer
0,Existing Customer
2146,Existing Customer
1081,Existing Customer
1880,Existing Customer
0,Existing Customer
2266,Existing Customer
916,Attrited Customer
0,Attrited Customer
2517,Existing Customer
1377,Existing Customer
0,Existing Customer
1478,Existing Customer
1134,Existing Customer
1746,Existing Customer
0,Existing Customer
2517,Existing Customer
1420,Existing Customer
1792,Existing Customer
0,Existing Customer
2025,Existing Customer
781,Attrited Customer
854,Existing Customer
1735,Existing Customer
0,Existing Customer
627,Existing Customer
2517,Existing Customer
954,Existing Customer
1236,Existing Customer
1936,Existing Customer
0,Attrited Customer
1887,Existing Customer
1249,Existing Customer
0,Existing Customer
1445,Existing Customer
0,Attrited Customer
0,Attrited Customer
2145,Existing Customer
0,Attrited Customer
0,Existing Customer
808,Existing Customer
1144,Existing Customer
1651,Existing Customer
0,Existing Customer
1410,Existing Customer
1423,Existing Customer
2052,Existing Customer
1789,Existing Customer
1888,Existing Customer
1392,Existing Customer
1765,Existing Customer
1728,Existing Customer
1514,Existing Customer
2292,Existing Customer
2102,Existing Customer
844,Existing Customer
0,Attrited Customer
815,Existing Customer
1691,Existing Customer
1507,Existing Customer
1613,Existing Customer
1733,Existing Customer
1926,Existing Customer
1348,Existing Customer
1884,Attrited Customer
1230,Existing Customer
2088,Existing Customer
777,Existing Customer
2517,Existing Customer
1594,Existing Customer
1619,Existing Customer
2306,Existing Customer
1776,Existing Customer
507,Existing Customer
1848,Existing Customer
756,Existing Customer
1668,Existing Customer
1247,Existing Customer
1893,Existing Customer
0,Existing Customer
0,Existing Customer
2145,Existing Customer
1604,Existing Customer
1629,Existing Customer
2055,Existing Customer
1499,Existing Customer
1880,Existing Customer
1598,Existing Customer
929,Existing Customer
590,Existing Customer
671,Existing Customer
0,Existing Customer
1408,Attrited Customer
1932,Existing Customer
1996,Existing Customer
1670,Existing Customer
2320,Existing Customer
0,Existing Customer
0,Existing Customer
1805,Existing Customer
1170,Existing Customer
2517,Existing Customer
1228,Existing Customer
1140,Existing Customer
2036,Existing Customer
2517,Attrited Customer
0,Existing Customer
914,Existing Customer
1824,Existing Customer
0,Attrited Customer
1352,Existing Customer
1348,Existing Customer
2351,Existing Customer
2448,Existing Customer
1816,Existing Customer
2005,Existing Customer
896,Existing Customer
2299,Existing Customer
0,Existing Customer
1286,Existing Customer
775,Existing Customer
1720,Existing Customer
1638,Existing Customer
2027,Existing Customer
0,Attrited Customer
1006,Existing Customer
1469,Existing Customer
1590,Existing Customer
1591,Existing Customer
930,Existing Customer
1394,Existing Customer
1872,Existing Customer
0,Existing Customer
1664,Existing Customer
1492,Existing Customer
0,Existing Customer
1589,Existing Customer
0,Existing Customer
2091,Existing Customer
1473,Existing Customer
1242,Existing Customer
0,Existing Customer
1601,Existing Customer
1075,Existing Customer
1416,Existing Customer
1225,Existing Customer
2279,Existing Customer
695,Existing Customer
1996,Existing Customer
1574,Existing Customer
2517,Existing Customer
1905,Existing Customer
1710,Existing Customer
0,Attrited Customer
930,Existing Customer
1748,Existing Customer
0,Existing Customer
1982,Existing Customer
651,Existing Customer
736,Existing Customer
2459,Existing Customer
1318,Existing Customer
1836,Existing Customer
0,Existing Customer
1069,Existing Customer
0,Existing Customer
2037,Existing Customer
0,Existing Customer
1922,Existing Customer
1806,Existing Customer
2099,Existing Customer
680,Existing Customer
2517,Existing Customer
2108,Existing Customer
2517,Existing Customer
1672,Existing Customer
1148,Existing Customer
1733,Existing Customer
0,Existing Customer
1560,Existing Customer
1260,Existing Customer
1861,Existing Customer
574,Existing Customer
675,Existing Customer
1409,Existing Customer
1567,Existing Customer
1271,Existing Customer
1147,Attrited Customer
810,Existing Customer
733,Existing Customer
922,Existing Customer
0,Attrited Customer
1362,Existing Customer
1865,Existing Customer
704,Existing Customer
1479,Existing Customer
1898,Existing Customer
951,Attrited Customer
1557,Existing Customer
0,Existing Customer
1147,Existing Customer
1147,Existing Customer
1667,Existing Customer
2517,Existing Customer
0,Existing Customer
2517,Attrited Customer
0,Existing Customer
1142,Existing Customer
1609,Existing Customer
1624,Existing Customer
0,Existing Customer
1687,Existing Customer
1698,Existing Customer
1101,Existing Customer
0,Existing Customer
2160,Existing Customer
0,Existing Customer
1751,Existing Customer
0,Existing Customer
1477,Existing Customer
1601,Existing Customer
0,Existing Customer
2517,Existing Customer
2028,Existing Customer
1924,Existing Customer
0,Existing Customer
1710,Existing Customer
396,Attrited Customer
760,Existing Customer
1560,Existing Customer
0,Existing Customer
1047,Existing Customer
1968,Existing Customer
2145,Existing Customer
0,Existing Customer
1157,Existing Customer
1392,Existing Customer
0,Existing Customer
0,Attrited Customer
1799,Existing Customer
2297,Existing Customer
807,Existing Customer
1092,Existing Customer
1993,Existing Customer
2517,Existing Customer
1063,Existing Customer
1616,Existing Customer
2517,Existing Customer
1655,Existing Customer
1997,Existing Customer
1252,Existing Customer
855,Attrited Customer
1215,Existing Customer
1389,Existing Customer
1713,Existing Customer
2242,Existing Customer
1845,Existing Customer
1001,Existing Customer
708,Existing Customer
1601,Existing Customer
794,Existing Customer
1894,Existing Customer
1515,Existing Customer
1515,Existing Customer
0,Existing Customer
0,Attrited Customer
0,Existing Customer
1354,Existing Customer
631,Existing Customer
702,Existing Customer
1151,Attrited Customer
1311,Existing Customer
1945,Existing Customer
1003,Existing Customer
0,Attrited Customer
0,Existing Customer
1038,Existing Customer
1045,Existing Customer
1584,Existing Customer
0,Existing Customer
768,Existing Customer
1383,Existing Customer
1636,Existing Customer
1129,Existing Customer
2446,Existing Customer
1639,Existing Customer
1070,Existing Customer
1699,Existing Customer
1567,Existing Customer
2517,Existing Customer
1158,Existing Customer
1219,Existing Customer
0,Existing Customer
1212,Existing Customer
981,Existing Customer
1211,Existing Customer
1719,Existing Customer
2207,Existing Customer
950,Existing Customer
0,Existing Customer
1424,Existing Customer
1180,Existing Customer
1604,Existing Customer
1646,Existing Customer
1697,Existing Customer
0,Existing Customer
1865,Existing Customer
2080,Existing Customer
2310,Existing Customer
1236,Existing Customer
1385,Existing Customer
1175,Existing Customer
869,Existing Customer
2169,Existing Customer
0,Existing Customer
1889,Existing Customer
695,Attrited Customer
0,Existing Customer
2220,Existing Customer
2381,Existing Customer
1521,Existing Customer
1547,Existing Customer
0,Existing Customer
1474,Existing Customer
1400,Existing Customer
1397,Existing Customer
1658,Existing Customer
1101,Existing Customer
0,Attrited Customer
1357,Existing Customer
1022,Existing Customer
1435,Existing Customer
1798,Existing Customer
2517,Existing Customer
2517,Existing Customer
1018,Existing Customer
2517,Existing Customer
1815,Existing Customer
1800,Existing Customer
1278,Existing Customer
0,Existing Customer
1597,Existing Customer
1792,Existing Customer
1589,Existing Customer
2076,Existing Customer
2457,Existing Customer
1173,Existing Customer
2044,Existing Customer
798,Existing Customer
856,Existing Customer
1327,Existing Customer
1195,Existing Customer
636,Existing Customer
1391,Existing Customer
507,Attrited Customer
1536,Existing Customer
789,Existing Customer
0,Existing Customer
2018,Existing Customer
2415,Existing Customer
787,Existing Customer
0,Existing Customer
1766,Existing Customer
1568,Existing Customer
1695,Existing Customer
666,Attrited Customer
890,Attrited Customer
2057,Existing Customer
1491,Existing Customer
1177,Existing Customer
1146,Existing Customer
1421,Existing Customer
0,Existing Customer
1784,Existing Customer
0,Existing Customer
2441,Existing Customer
1267,Existing Customer
2048,Existing Customer
1864,Existing Customer
1580,Existing Customer
1365,Existing Customer
2029,Existing Customer
985,Existing Customer
1060,Existing Customer
2517,Existing Customer
1390,Existing Customer
0,Existing Customer
1702,Existing Customer
0,Existing Customer
0,Existing Customer
829,Existing Customer
2517,Existing Customer
1789,Existing Customer
1553,Existing Customer
1291,Existing Customer
1851,Existing Customer
606,Existing Customer
1504,Existing Customer
1452,Existing Customer
1223,Existing Customer
625,Existing Customer
1144,Existing Customer
2149,Existing Customer
0,Existing Customer
1381,Existing Customer
0,Existing Customer
1431,Existing Customer
2498,Existing Customer
1384,Existing Customer
1033,Existing Customer
891,Existing Customer
1880,Existing Customer
1551,Existing Customer
847,Existing Customer
1929,Existing Customer
1063,Existing Customer
2077,Existing Customer
1956,Existing Customer
1843,Existing Customer
957,Existing Customer
1595,Existing Customer
1928,Existing Customer
0,Attrited Customer
1898,Existing Customer
1867,Existing Customer
1875,Existing Customer
2076,Existing Customer
1314,Existing Customer
495,Existing Customer
0,Existing Customer
694,Existing Customer
0,Existing Customer
1655,Existing Customer
1278,Existing Customer
564,Existing Customer
2252,Existing Customer
1812,Existing Customer
1540,Existing Customer
932,Attrited Customer
2517,Existing Customer
0,Existing Customer
1118,Existing Customer
1530,Existing Customer
1986,Attrited Customer
2151,Existing Customer
688,Existing Customer
1965,Existing Customer
1397,Existing Customer
1009,Existing Customer
0,Existing Customer
1528,Existing Customer
922,Existing Customer
1324,Existing Customer
1659,Existing Customer
2504,Existing Customer
892,Existing Customer
1955,Existing Customer
1206,Existing Customer
1201,Existing Customer
1164,Existing Customer
1083,Existing Customer
1337,Existing Customer
2517,Existing Customer
2097,Existing Customer
2517,Existing Customer
2460,Attrited Customer
707,Existing Customer
0,Existing Customer
1002,Existing Customer
2032,Existing Customer
1772,Existing Customer
1603,Existing Customer
1873,Existing Customer
1775,Existing Customer
0,Existing Customer
1717,Existing Customer
2517,Attrited Customer
1402,Existing Customer
1726,Existing Customer
2165,Existing Customer
690,Existing Customer
997,Existing Customer
1616,Attrited Customer
763,Existing Customer
0,Existing Customer
0,Existing Customer
2317,Existing Customer
1946,Existing Customer
1999,Existing Customer
0,Existing Customer
0,Existing Customer
1472,Existing Customer
0,Existing Customer
2517,Existing Customer
511,Attrited Customer
1632,Existing Customer
1817,Existing Customer
1655,Existing Customer
1351,Existing Customer
0,Attrited Customer
1844,Existing Customer
2053,Existing Customer
2303,Existing Customer
1608,Existing Customer
0,Existing Customer
0,Existing Customer
0,Attrited Customer
1285,Existing Customer
943,Existing Customer
795,Existing Customer
1337,Existing Customer
1444,Existing Customer
1267,Existing Customer
1468,Existing Customer
1003,Existing Customer
2103,Existing Customer
1530,Existing Customer
0,Existing Customer
0,Existing Customer
1196,Existing Customer
2357,Existing Customer
915,Existing Customer
1668,Existing Customer
1669,Existing Customer
977,Existing Customer
1518,Existing Customer
1671,Existing Customer
926,Attrited Customer
1671,Existing Customer
0,Existing Customer
1015,Existing Customer
1568,Existing Customer
1884,Existing Customer
844,Existing Customer
1582,Existing Customer
0,Existing Customer
2360,Existing Customer
0,Existing Customer
0,Attrited Customer
1723,Existing Customer
1305,Existing Customer
2375,Existing Customer
2289,Existing Customer
1874,Existing Customer
674,Existing Customer
2517,Existing Customer
2517,Attrited Customer
2159,Existing Customer
2379,Existing Customer
883,Existing Customer
1346,Existing Customer
1813,Existing Customer
2033,Existing Customer
2162,Existing Customer
0,Existing Customer
1529,Existing Customer
0,Existing Customer
618,Existing Customer
1986,Existing Customer
0,Attrited Customer
0,Existing Customer
0,Existing Customer
0,Existing Customer
1191,Existing Customer
1699,Existing Customer
2517,Existing Customer
989,Existing Customer
0,Attrited Customer
1639,Existing Customer
0,Existing Customer
925,Existing Customer
1351,Existing Customer
1262,Existing Customer
0,Existing Customer
0,Existing Customer
1396,Existing Customer
1932,Existing Customer
1596,Existing Customer
786,Existing Customer
1153,Existing Customer
1442,Existing Customer
1698,Existing Customer
0,Existing Customer
643,Existing Customer
2147,Existing Customer
0,Existing Customer
1695,Existing Customer
827,Existing Customer
0,Existing Customer
691,Existing Customer
2517,Existing Customer
1965,Existing Customer
1579,Existing Customer
0,Existing Customer
1961,Existing Customer
1646,Existing Customer
1864,Existing Customer
1553,Existing Customer
2517,Existing Customer
1885,Existing Customer
1702,Existing Customer
812,Attrited Customer
0,Existing Customer
2517,Existing Customer
1466,Existing Customer
1405,Existing Customer
1699,Existing Customer
0,Existing Customer
1180,Existing Customer
1560,Existing Customer
1409,Existing Customer
0,Existing Customer
1815,Existing Customer
0,Existing Customer
1425,Existing Customer
0,Existing Customer
0,Existing Customer
2167,Existing Customer
2360,Existing Customer
0,Existing Customer
1226,Existing Customer
1623,Existing Customer
0,Attrited Customer
1414,Existing Customer
1177,Existing Customer
0,Existing Customer
2089,Attrited Customer
1544,Existing Customer
0,Attrited Customer
0,Existing Customer
1394,Existing Customer
2390,Existing Customer
0,Existing Customer
1412,Existing Customer
0,Attrited Customer
0,Existing Customer
1308,Existing Customer
1507,Existing Customer
560,Existing Customer
2517,Existing Customer
0,Existing Customer
1023,Existing Customer
0,Existing Customer
1609,Existing Customer
601,Existing Customer
451,Existing Customer
1782,Existing Customer
1407,Existing Customer
1897,Existing Customer
1909,Existing Customer
2379,Existing Customer
0,Attrited Customer
1628,Existing Customer
1466,Existing Customer
2077,Existing Customer
858,Attrited Customer
1901,Existing Customer
1082,Existing Customer
0,Attrited Customer
1798,Existing Customer
2517,Existing Customer
1698,Existing Customer
2189,Existing Customer
2308,Existing Customer
1704,Existing Customer
898,Existing Customer
0,Existing Customer
0,Attrited Customer
1877,Existing Customer
0,Attrited Customer
0,Existing Customer
939,Existing Customer
1991,Existing Customer
1664,Existing Customer
1375,Existing Customer
0,Existing Customer
0,Existing Customer
1880,Existing Customer
737,Existing Customer
1422,Existing Customer
933,Existing Customer
1570,Existing Customer
1859,Existing Customer
928,Existing Customer
1410,Existing Customer
2073,Existing Customer
1199,Existing Customer
