"Total_Ct_Chng_Q4_Q1","Attrition_Flag"
0.714,Existing Customer
0.727,Existing Customer
0.882,Existing Customer
0.812,Existing Customer
0.6,Existing Customer
1.0,Existing Customer
0.87,Existing Customer
0.786,Existing Customer
0.692,Existing Customer
0.182,Attrited Customer
1.227,Existing Customer
0.938,Existing Customer
1.833,Existing Customer
0.6,Existing Customer
0.652,Existing Customer
0.789,Existing Customer
1.462,Existing Customer
0.6,Existing Customer
0.812,Existing Customer
1.167,Existing Customer
0.583,Existing Customer
1.444,Existing Customer
1.167,Existing Customer
1.125,Existing Customer
0.524,Existing Customer
1.05,Existing Customer
0.938,Existing Customer
0.679,Existing Customer
0.375,Existing Customer
0.588,Existing Customer
2.75,Existing Customer
1.385,Existing Customer
0.938,Existing Customer
0.786,Existing Customer
0.286,Existing Customer
1.308,Existing Customer
1.188,Existing Customer
0.444,Existing Customer
1.182,Existing Customer
0.391,Existing Customer
1.0,Existing Customer
0.867,Existing Customer
0.261,Existing Customer
1.176,Existing Customer
1.3,Existing Customer
1.312,Existing Customer
0.619,Existing Customer
0.667,Existing Customer
0.947,Existing Customer
1.0,Existing Customer
0.656,Existing Customer
1.636,Existing Customer
0.727,Existing Customer
1.235,Existing Customer
0.727,Existing Customer
0.929,Existing Customer
0.444,Existing Customer
0.7,Attrited Customer
0.684,Existing Customer
0.867,Existing Customer
0.37,Existing Customer
0.059,Attrited Customer
0.786,Existing Customer
0.375,Existing Customer
0.407,Existing Customer
1.333,Existing Customer
0.846,Existing Customer
0.833,Existing Customer
0.444,Existing Customer
1.118,Attrited Customer
1.778,Existing Customer
0.818,Attrited Customer
0.909,Existing Customer
0.955,Existing Customer
1.2,Existing Customer
1.286,Existing Customer
0.833,Existing Customer
0.667,Attrited Customer
0.909,Existing Customer
0.5,Existing Customer
0.864,Existing Customer
0.889,Existing Customer
0.9,Existing Customer
0.565,Existing Customer
0.833,Existing Customer
1.438,Existing Customer
0.452,Existing Customer
0.944,Existing Customer
1.13,Existing Customer
0.37,Existing Customer
0.727,Attrited Customer
0.923,Attrited Customer
0.875,Existing Customer
0.615,Existing Customer
0.5,Attrited Customer
0.5,Existing Customer
0.429,Attrited Customer
2.0,Existing Customer
1.5,Existing Customer
0.632,Existing Customer
0.786,Existing Customer
0.714,Existing Customer
0.235,Existing Customer
1.0,Existing Customer
1.5,Existing Customer
0.409,Attrited Customer
0.6,Existing Customer
0.622,Existing Customer
0.833,Existing Customer
0.4,Attrited Customer
0.688,Existing Customer
0.562,Attrited Customer
0.355,Existing Customer
0.444,Existing Customer
0.667,Existing Customer
1.217,Existing Customer
0.684,Existing Customer
0.65,Existing Customer
1.083,Existing Customer
0.6,Existing Customer
0.737,Existing Customer
0.462,Existing Customer
1.294,Existing Customer
1.286,Existing Customer
0.211,Existing Customer
0.727,Existing Customer
0.778,Existing Customer
0.545,Existing Customer
0.606,Existing Customer
0.655,Existing Customer
0.8,Existing Customer
1.053,Existing Customer
0.941,Existing Customer
0.625,Existing Customer
0.824,Existing Customer
0.688,Existing Customer
1.316,Existing Customer
0.575,Existing Customer
1.083,Existing Customer
0.864,Existing Customer
0.333,Existing Customer
0.88,Existing Customer
1.0,Existing Customer
0.762,Existing Customer
0.381,Existing Customer
0.607,Existing Customer
1.357,Existing Customer
0.481,Existing Customer
0.556,Attrited Customer
1.214,Existing Customer
0.85,Existing Customer
0.684,Existing Customer
1.0,Existing Customer
0.41,Existing Customer
0.455,Existing Customer
0.609,Existing Customer
0.609,Existing Customer
0.462,Existing Customer
0.611,Existing Customer
0.421,Attrited Customer
1.154,Existing Customer
0.276,Existing Customer
0.333,Existing Customer
0.533,Existing Customer
0.606,Existing Customer
0.929,Existing Customer
0.25,Existing Customer
0.515,Existing Customer
0.273,Attrited Customer
0.5,Attrited Customer
0.852,Existing Customer
0.625,Existing Customer
1.053,Existing Customer
0.85,Existing Customer
0.333,Attrited Customer
0.35,Existing Customer
0.606,Existing Customer
0.762,Existing Customer
0.371,Existing Customer
0.214,Attrited Customer
0.63,Existing Customer
1.118,Existing Customer
0.706,Existing Customer
0.406,Existing Customer
0.706,Existing Customer
0.526,Existing Customer
0.5,Existing Customer
0.652,Existing Customer
0.349,Existing Customer
0.857,Existing Customer
0.76,Existing Customer
0.308,Attrited Customer
1.25,Attrited Customer
1.143,Existing Customer
0.923,Existing Customer
0.212,Existing Customer
0.515,Existing Customer
0.536,Existing Customer
0.652,Existing Customer
0.452,Existing Customer
0.5,Existing Customer
0.85,Existing Customer
0.75,Attrited Customer
0.5,Attrited Customer
0.543,Existing Customer
0.5,Attrited Customer
0.429,Existing Customer
0.8,Existing Customer
0.607,Existing Customer
1.059,Existing Customer
0.214,Attrited Customer
0.381,Existing Customer
0.643,Existing Customer
0.85,Existing Customer
0.409,Existing Customer
0.387,Existing Customer
0.7,Existing Customer
0.37,Existing Customer
0.415,Existing Customer
0.895,Existing Customer
0.781,Existing Customer
1.056,Existing Customer
0.895,Existing Customer
1.5,Existing Customer
0.667,Existing Customer
0.412,Attrited Customer
0.649,Existing Customer
0.667,Attrited Customer
0.529,Existing Customer
0.778,Existing Customer
0.367,Existing Customer
0.857,Existing Customer
0.586,Existing Customer
0.571,Existing Customer
0.688,Existing Customer
0.324,Existing Customer
1.385,Existing Customer
0.306,Attrited Customer
0.676,Existing Customer
0.708,Existing Customer
0.25,Existing Customer
0.476,Existing Customer
0.452,Existing Customer
0.29,Existing Customer
0.364,Attrited Customer
1.0,Existing Customer
0.55,Existing Customer
0.25,Attrited Customer
0.591,Existing Customer
0.615,Existing Customer
0.778,Existing Customer
1.083,Existing Customer
0.133,Attrited Customer
0.75,Existing Customer
0.344,Existing Customer
0.583,Existing Customer
0.708,Existing Customer
0.4,Existing Customer
0.462,Existing Customer
0.833,Existing Customer
0.667,Existing Customer
0.542,Existing Customer
0.421,Existing Customer
0.368,Existing Customer
0.538,Existing Customer
0.364,Existing Customer
0.143,Attrited Customer
0.8,Existing Customer
0.545,Existing Customer
0.545,Existing Customer
0.471,Existing Customer
0.571,Existing Customer
0.545,Existing Customer
0.875,Existing Customer
1.5,Existing Customer
1.0,Existing Customer
0.842,Existing Customer
0.684,Existing Customer
0.364,Attrited Customer
0.407,Existing Customer
0.333,Attrited Customer
0.524,Existing Customer
0.516,Existing Customer
1.857,Existing Customer
0.629,Existing Customer
0.481,Existing Customer
0.963,Existing Customer
0.686,Existing Customer
1.235,Existing Customer
0.649,Existing Customer
0.323,Existing Customer
0.391,Existing Customer
0.667,Existing Customer
0.929,Existing Customer
0.733,Existing Customer
0.438,Existing Customer
0.5,Existing Customer
0.8,Existing Customer
0.585,Existing Customer
0.8,Existing Customer
1.0,Existing Customer
0.87,Existing Customer
0.778,Existing Customer
0.52,Existing Customer
0.562,Existing Customer
0.633,Existing Customer
0.88,Existing Customer
0.92,Existing Customer
0.333,Existing Customer
0.6,Existing Customer
0.421,Attrited Customer
0.441,Existing Customer
0.424,Existing Customer
0.5,Existing Customer
0.25,Existing Customer
1.438,Existing Customer
0.842,Existing Customer
0.59,Existing Customer
0.763,Existing Customer
0.875,Existing Customer
1.308,Existing Customer
0.207,Existing Customer
0.649,Existing Customer
0.5,Attrited Customer
0.65,Existing Customer
2.222,Attrited Customer
1.45,Existing Customer
0.444,Existing Customer
0.824,Existing Customer
0.562,Attrited Customer
0.469,Existing Customer
0.542,Existing Customer
0.655,Existing Customer
0.75,Existing Customer
0.533,Existing Customer
0.346,Existing Customer
0.478,Existing Customer
0.696,Existing Customer
0.944,Existing Customer
0.741,Existing Customer
0.526,Existing Customer
0.512,Existing Customer
0.75,Existing Customer
0.462,Attrited Customer
0.696,Existing Customer
0.423,Existing Customer
0.625,Existing Customer
0.522,Existing Customer
1.105,Existing Customer
0.583,Existing Customer
0.568,Existing Customer
0.607,Existing Customer
0.452,Existing Customer
0.552,Existing Customer
0.519,Existing Customer
2.5,Existing Customer
0.6,Existing Customer
0.478,Existing Customer
0.448,Existing Customer
0.381,Attrited Customer
0.923,Existing Customer
0.615,Attrited Customer
0.651,Existing Customer
0.667,Existing Customer
0.333,Attrited Customer
0.629,Existing Customer
0.657,Existing Customer
0.917,Existing Customer
0.682,Existing Customer
0.714,Existing Customer
0.808,Existing Customer
0.481,Existing Customer
0.947,Existing Customer
1.0,Existing Customer
0.778,Attrited Customer
1.0,Existing Customer
0.194,Existing Customer
0.467,Existing Customer
0.429,Existing Customer
0.348,Existing Customer
0.318,Existing Customer
1.0,Existing Customer
0.714,Existing Customer
0.478,Existing Customer
0.529,Attrited Customer
1.05,Existing Customer
0.6,Existing Customer
0.75,Existing Customer
0.524,Attrited Customer
0.581,Existing Customer
0.875,Existing Customer
0.412,Existing Customer
0.486,Existing Customer
0.842,Attrited Customer
0.969,Existing Customer
1.176,Existing Customer
0.697,Existing Customer
0.8,Existing Customer
0.56,Existing Customer
0.333,Existing Customer
0.667,Existing Customer
0.85,Existing Customer
0.385,Existing Customer
0.389,Attrited Customer
0.32,Attrited Customer
0.722,Existing Customer
0.688,Existing Customer
1.25,Attrited Customer
0.615,Existing Customer
0.606,Existing Customer
0.737,Existing Customer
0.677,Existing Customer
0.189,Existing Customer
0.72,Existing Customer
1.357,Existing Customer
1.0,Existing Customer
0.815,Existing Customer
1.15,Existing Customer
0.632,Existing Customer
0.471,Attrited Customer
0.75,Existing Customer
0.708,Existing Customer
0.765,Existing Customer
0.533,Existing Customer
0.531,Existing Customer
0.472,Existing Customer
0.625,Existing Customer
0.708,Existing Customer
0.7,Existing Customer
0.667,Existing Customer
0.778,Existing Customer
0.5,Attrited Customer
0.4,Attrited Customer
0.647,Existing Customer
0.4,Existing Customer
0.724,Existing Customer
0.304,Existing Customer
0.773,Existing Customer
0.55,Existing Customer
0.826,Existing Customer
0.4,Attrited Customer
0.59,Existing Customer
1.125,Existing Customer
0.696,Existing Customer
0.44,Existing Customer
0.364,Existing Customer
1.0,Existing Customer
1.0,Existing Customer
0.906,Existing Customer
1.211,Existing Customer
0.647,Existing Customer
0.882,Existing Customer
0.611,Existing Customer
0.591,Existing Customer
0.652,Existing Customer
0.889,Existing Customer
0.765,Existing Customer
0.8,Existing Customer
0.357,Existing Customer
0.455,Existing Customer
0.826,Existing Customer
0.758,Existing Customer
0.7,Existing Customer
0.714,Existing Customer
0.778,Existing Customer
1.107,Existing Customer
0.5,Existing Customer
1.545,Existing Customer
0.621,Existing Customer
0.536,Attrited Customer
0.667,Existing Customer
0.652,Existing Customer
0.458,Existing Customer
1.059,Existing Customer
0.357,Existing Customer
0.588,Existing Customer
0.538,Existing Customer
0.636,Existing Customer
0.368,Existing Customer
0.75,Existing Customer
0.522,Existing Customer
0.459,Existing Customer
0.944,Existing Customer
0.815,Existing Customer
0.406,Existing Customer
0.542,Existing Customer
0.737,Existing Customer
0.71,Existing Customer
0.778,Existing Customer
0.487,Existing Customer
0.214,Existing Customer
1.25,Existing Customer
0.667,Existing Customer
0.636,Existing Customer
0.95,Existing Customer
0.875,Existing Customer
0.321,Existing Customer
0.5,Attrited Customer
0.75,Attrited Customer
0.613,Existing Customer
0.706,Existing Customer
1.083,Existing Customer
0.414,Existing Customer
0.742,Existing Customer
0.4,Existing Customer
0.654,Existing Customer
0.739,Existing Customer
0.684,Existing Customer
1.188,Existing Customer
0.636,Existing Customer
0.767,Existing Customer
0.091,Attrited Customer
0.8,Existing Customer
0.5,Existing Customer
0.455,Existing Customer
0.364,Existing Customer
0.926,Existing Customer
0.842,Existing Customer
0.667,Existing Customer
1.0,Existing Customer
0.556,Attrited Customer
0.618,Existing Customer
0.478,Existing Customer
0.409,Existing Customer
1.75,Existing Customer
0.818,Attrited Customer
0.167,Attrited Customer
0.733,Existing Customer
0.286,Attrited Customer
0.784,Existing Customer
0.613,Existing Customer
1.043,Existing Customer
0.208,Existing Customer
0.8,Existing Customer
0.7,Existing Customer
1.136,Existing Customer
0.63,Existing Customer
0.897,Existing Customer
0.696,Existing Customer
1.25,Existing Customer
0.593,Existing Customer
0.688,Existing Customer
0.294,Existing Customer
0.545,Existing Customer
0.737,Existing Customer
0.686,Existing Customer
0.231,Attrited Customer
0.778,Existing Customer
0.929,Existing Customer
1.375,Existing Customer
0.417,Existing Customer
0.862,Existing Customer
0.737,Existing Customer
0.533,Existing Customer
1.5,Attrited Customer
0.435,Existing Customer
0.4,Existing Customer
0.595,Existing Customer
0.467,Existing Customer
2.222,Existing Customer
1.208,Existing Customer
0.96,Existing Customer
0.824,Existing Customer
0.595,Existing Customer
0.524,Existing Customer
0.867,Existing Customer
0.632,Existing Customer
0.6,Existing Customer
0.355,Existing Customer
0.806,Existing Customer
0.514,Existing Customer
0.433,Existing Customer
0.649,Existing Customer
0.481,Existing Customer
0.636,Existing Customer
0.514,Existing Customer
0.579,Existing Customer
0.536,Existing Customer
0.484,Existing Customer
1.08,Existing Customer
0.931,Existing Customer
0.56,Existing Customer
0.643,Attrited Customer
0.824,Existing Customer
0.429,Existing Customer
0.545,Existing Customer
0.643,Existing Customer
0.464,Existing Customer
0.6,Existing Customer
0.815,Existing Customer
0.5,Existing Customer
0.846,Existing Customer
0.971,Existing Customer
0.957,Existing Customer
0.75,Existing Customer
0.455,Attrited Customer
0.846,Existing Customer
1.038,Existing Customer
0.55,Existing Customer
0.722,Attrited Customer
0.812,Existing Customer
0.385,Existing Customer
0.667,Existing Customer
0.481,Existing Customer
0.731,Existing Customer
0.806,Existing Customer
0.5,Existing Customer
0.5,Existing Customer
0.381,Existing Customer
0.722,Existing Customer
0.435,Existing Customer
0.48,Existing Customer
0.806,Existing Customer
0.655,Existing Customer
0.133,Attrited Customer
0.591,Existing Customer
0.682,Existing Customer
0.609,Existing Customer
1.062,Existing Customer
0.608,Existing Customer
0.864,Existing Customer
1.103,Existing Customer
0.611,Existing Customer
0.609,Existing Customer
0.455,Existing Customer
1.111,Existing Customer
0.895,Existing Customer
0.607,Existing Customer
0.5,Existing Customer
0.429,Existing Customer
0.613,Existing Customer
0.591,Existing Customer
0.414,Existing Customer
0.477,Existing Customer
1.111,Existing Customer
0.238,Existing Customer
0.643,Existing Customer
0.725,Existing Customer
0.69,Existing Customer
0.652,Existing Customer
0.476,Existing Customer
0.781,Existing Customer
1.0,Existing Customer
1.111,Attrited Customer
0.967,Existing Customer
0.647,Existing Customer
0.818,Existing Customer
0.944,Existing Customer
0.585,Existing Customer
0.29,Existing Customer
1.0,Existing Customer
0.593,Existing Customer
0.593,Existing Customer
0.324,Existing Customer
0.621,Existing Customer
0.636,Existing Customer
0.697,Existing Customer
0.714,Existing Customer
0.611,Existing Customer
0.591,Existing Customer
0.857,Existing Customer
0.571,Existing Customer
0.531,Existing Customer
0.576,Existing Customer
0.458,Existing Customer
0.75,Existing Customer
1.0,Existing Customer
0.632,Existing Customer
0.931,Existing Customer
0.76,Existing Customer
0.567,Existing Customer
0.727,Existing Customer
0.32,Existing Customer
0.636,Existing Customer
0.364,Existing Customer
1.042,Existing Customer
0.682,Existing Customer
0.75,Attrited Customer
0.571,Existing Customer
0.538,Existing Customer
0.75,Existing Customer
0.263,Attrited Customer
0.759,Existing Customer
0.439,Existing Customer
0.941,Existing Customer
0.679,Existing Customer
2.0,Existing Customer
0.588,Attrited Customer
0.857,Existing Customer
0.355,Existing Customer
1.083,Existing Customer
1.125,Existing Customer
0.667,Existing Customer
0.306,Existing Customer
0.722,Existing Customer
0.524,Attrited Customer
0.6,Existing Customer
0.615,Existing Customer
0.806,Existing Customer
0.48,Existing Customer
0.81,Existing Customer
0.552,Existing Customer
0.568,Existing Customer
0.471,Existing Customer
0.969,Existing Customer
0.676,Existing Customer
0.455,Existing Customer
0.758,Existing Customer
0.739,Existing Customer
0.724,Existing Customer
0.471,Existing Customer
0.6,Existing Customer
0.667,Existing Customer
1.059,Existing Customer
0.762,Existing Customer
0.417,Existing Customer
0.528,Existing Customer
1.0,Attrited Customer
0.955,Existing Customer
0.367,Existing Customer
0.613,Existing Customer
0.429,Existing Customer
0.447,Existing Customer
0.815,Existing Customer
0.581,Existing Customer
0.773,Existing Customer
0.6,Existing Customer
0.297,Existing Customer
0.3,Attrited Customer
0.5,Existing Customer
0.556,Existing Customer
0.667,Existing Customer
0.833,Existing Customer
0.767,Existing Customer
0.87,Existing Customer
0.515,Existing Customer
0.588,Existing Customer
0.882,Existing Customer
0.308,Existing Customer
0.87,Existing Customer
1.1,Existing Customer
0.5,Attrited Customer
0.548,Existing Customer
0.545,Existing Customer
0.667,Existing Customer
0.579,Existing Customer
0.269,Existing Customer
0.448,Existing Customer
0.483,Existing Customer
0.75,Existing Customer
1.107,Existing Customer
0.962,Existing Customer
0.636,Existing Customer
0.318,Existing Customer
0.6,Existing Customer
0.273,Attrited Customer
0.75,Existing Customer
0.333,Existing Customer
0.774,Existing Customer
0.606,Existing Customer
0.75,Attrited Customer
0.513,Existing Customer
0.609,Existing Customer
0.467,Existing Customer
0.526,Attrited Customer
0.31,Existing Customer
0.714,Existing Customer
0.55,Existing Customer
0.714,Existing Customer
0.731,Existing Customer
0.429,Existing Customer
0.614,Existing Customer
0.955,Existing Customer
0.436,Existing Customer
0.45,Existing Customer
0.931,Existing Customer
0.452,Existing Customer
0.538,Existing Customer
0.455,Existing Customer
0.296,Existing Customer
0.5,Existing Customer
1.0,Existing Customer
0.519,Existing Customer
0.879,Existing Customer
0.65,Existing Customer
1.2,Existing Customer
0.571,Existing Customer
0.765,Existing Customer
1.114,Existing Customer
1.105,Existing Customer
0.364,Existing Customer
0.367,Existing Customer
0.262,Existing Customer
1.278,Existing Customer
0.706,Existing Customer
0.667,Existing Customer
0.679,Existing Customer
0.622,Existing Customer
0.808,Existing Customer
0.478,Existing Customer
0.846,Existing Customer
0.824,Existing Customer
0.875,Existing Customer
0.579,Existing Customer
0.257,Existing Customer
1.167,Existing Customer
0.517,Attrited Customer
0.619,Existing Customer
1.36,Existing Customer
0.778,Existing Customer
0.605,Existing Customer
0.267,Existing Customer
0.588,Existing Customer
1.04,Existing Customer
1.0,Existing Customer
1.0,Existing Customer
0.711,Existing Customer
1.125,Existing Customer
0.583,Attrited Customer
0.7,Existing Customer
0.615,Existing Customer
0.619,Existing Customer
0.619,Existing Customer
0.538,Existing Customer
0.875,Existing Customer
0.774,Existing Customer
0.812,Existing Customer
1.273,Existing Customer
0.623,Existing Customer
0.913,Existing Customer
0.577,Existing Customer
0.529,Existing Customer
0.769,Existing Customer
0.516,Existing Customer
1.0,Existing Customer
0.737,Existing Customer
0.37,Existing Customer
0.92,Existing Customer
1.045,Existing Customer
0.65,Existing Customer
0.775,Existing Customer
0.5,Existing Customer
0.5,Existing Customer
0.575,Existing Customer
0.4,Attrited Customer
0.407,Existing Customer
0.605,Existing Customer
0.577,Existing Customer
0.95,Existing Customer
0.8,Existing Customer
0.556,Existing Customer
0.897,Existing Customer
0.697,Existing Customer
0.857,Existing Customer
0.588,Existing Customer
0.5,Attrited Customer
0.483,Attrited Customer
0.969,Existing Customer
0.571,Existing Customer
0.733,Existing Customer
1.357,Existing Customer
0.793,Existing Customer
0.649,Existing Customer
0.633,Existing Customer
1.056,Existing Customer
0.545,Existing Customer
1.059,Existing Customer
0.526,Existing Customer
0.667,Existing Customer
0.636,Existing Customer
1.263,Existing Customer
0.52,Existing Customer
0.276,Existing Customer
0.609,Existing Customer
1.3,Existing Customer
0.556,Existing Customer
0.731,Existing Customer
0.5,Existing Customer
0.842,Existing Customer
0.632,Existing Customer
0.519,Existing Customer
0.381,Existing Customer
0.348,Existing Customer
0.667,Existing Customer
0.542,Existing Customer
0.833,Existing Customer
0.657,Existing Customer
0.448,Existing Customer
0.511,Existing Customer
0.52,Existing Customer
0.595,Existing Customer
0.583,Existing Customer
0.647,Existing Customer
0.811,Existing Customer
0.143,Existing Customer
0.528,Existing Customer
0.722,Existing Customer
0.568,Existing Customer
0.391,Existing Customer
1.0,Existing Customer
0.556,Existing Customer
0.571,Existing Customer
0.304,Existing Customer
0.483,Existing Customer
0.556,Existing Customer
0.641,Existing Customer
0.562,Existing Customer
0.536,Existing Customer
0.646,Existing Customer
0.417,Existing Customer
0.5,Existing Customer
0.4,Existing Customer
0.462,Attrited Customer
0.706,Existing Customer
1.333,Existing Customer
1.083,Existing Customer
0.533,Existing Customer
0.559,Existing Customer
0.333,Existing Customer
0.833,Existing Customer
0.938,Existing Customer
0.667,Existing Customer
0.333,Existing Customer
0.609,Existing Customer
0.652,Existing Customer
0.846,Existing Customer
0.76,Existing Customer
0.958,Existing Customer
0.344,Attrited Customer
0.765,Existing Customer
0.659,Existing Customer
1.0,Existing Customer
0.344,Existing Customer
0.038,Attrited Customer
0.526,Existing Customer
1.071,Existing Customer
0.448,Existing Customer
0.609,Existing Customer
0.944,Existing Customer
1.114,Existing Customer
0.6,Existing Customer
0.625,Existing Customer
0.52,Existing Customer
0.871,Existing Customer
1.04,Existing Customer
0.919,Existing Customer
0.8,Existing Customer
0.75,Existing Customer
0.852,Existing Customer
1.053,Existing Customer
0.59,Existing Customer
0.375,Existing Customer
0.5,Existing Customer
0.639,Existing Customer
0.833,Existing Customer
0.077,Attrited Customer
0.5,Existing Customer
0.564,Existing Customer
0.7,Existing Customer
0.625,Existing Customer
0.419,Existing Customer
0.519,Existing Customer
0.853,Existing Customer
0.667,Existing Customer
0.722,Existing Customer
0.848,Existing Customer
0.059,Attrited Customer
0.789,Existing Customer
0.636,Existing Customer
0.542,Existing Customer
0.806,Existing Customer
0.565,Existing Customer
0.286,Attrited Customer
0.76,Existing Customer
0.824,Existing Customer
0.933,Existing Customer
1.033,Existing Customer
1.0,Existing Customer
0.714,Existing Customer
0.75,Existing Customer
0.818,Existing Customer
0.8,Existing Customer
0.722,Existing Customer
0.577,Existing Customer
0.273,Attrited Customer
0.667,Existing Customer
0.675,Existing Customer
0.706,Existing Customer
0.743,Existing Customer
0.692,Attrited Customer
0.758,Existing Customer
0.381,Existing Customer
0.786,Existing Customer
0.528,Existing Customer
0.516,Existing Customer
0.769,Existing Customer
1.0,Attrited Customer
1.2,Existing Customer
0.207,Existing Customer
0.619,Existing Customer
0.727,Existing Customer
0.419,Existing Customer
0.611,Existing Customer
0.5,Existing Customer
0.586,Existing Customer
1.087,Existing Customer
0.657,Existing Customer
