"Avg_Utilization_Ratio","Attrition_Flag"
0.045,Existing Customer
0.045,Existing Customer
0.177,Existing Customer
0.246,Existing Customer
0.101,Existing Customer
0.227,Existing Customer
0.284,Existing Customer
0.092,Existing Customer
0.059,Existing Customer
0.0,Existing Customer
0.029,Existing Customer
0.268,Existing Customer
0.578,Existing Customer
0.051,Attrited Customer
0.318,Existing Customer
0.123,Existing Customer
0.056,Existing Customer
0.594,Existing Customer
0.0,Existing Customer
0.071,Existing Customer
0.684,Existing Customer
0.019,Existing Customer
0.19,Existing Customer
0.722,Existing Customer
0.078,Existing Customer
0.291,Existing Customer
0.548,Attrited Customer
0.0,Existing Customer
0.0,Attrited Customer
0.511,Existing Customer
0.306,Existing Customer
0.473,Existing Customer
0.0,Attrited Customer
0.294,Existing Customer
0.393,Existing Customer
0.099,Existing Customer
0.054,Existing Customer
0.055,Existing Customer
0.096,Existing Customer
0.048,Existing Customer
0.219,Existing Customer
0.0,Existing Customer
0.709,Existing Customer
0.621,Existing Customer
0.719,Existing Customer
0.412,Existing Customer
0.0,Attrited Customer
0.112,Existing Customer
0.428,Existing Customer
0.0,Existing Customer
0.465,Existing Customer
0.53,Existing Customer
0.051,Existing Customer
0.707,Existing Customer
0.677,Existing Customer
0.253,Existing Customer
0.206,Existing Customer
0.062,Existing Customer
0.109,Existing Customer
0.803,Existing Customer
0.425,Existing Customer
0.801,Existing Customer
0.084,Attrited Customer
0.149,Existing Customer
0.0,Attrited Customer
0.0,Existing Customer
0.033,Existing Customer
0.037,Attrited Customer
0.878,Existing Customer
0.304,Existing Customer
0.814,Existing Customer
0.0,Existing Customer
0.342,Existing Customer
0.848,Existing Customer
0.163,Existing Customer
0.118,Existing Customer
0.729,Existing Customer
0.125,Attrited Customer
0.0,Existing Customer
0.0,Existing Customer
0.222,Existing Customer
0.062,Existing Customer
0.232,Existing Customer
0.045,Existing Customer
0.039,Existing Customer
0.519,Existing Customer
0.406,Existing Customer
0.0,Attrited Customer
0.073,Existing Customer
0.325,Existing Customer
0.702,Existing Customer
0.181,Attrited Customer
0.16,Existing Customer
0.238,Existing Customer
0.468,Existing Customer
0.356,Existing Customer
0.0,Attrited Customer
0.209,Existing Customer
0.34,Existing Customer
0.171,Existing Customer
0.258,Existing Customer
0.63,Existing Customer
0.0,Existing Customer
0.304,Existing Customer
0.372,Existing Customer
0.605,Existing Customer
0.0,Attrited Customer
0.033,Attrited Customer
0.637,Existing Customer
0.507,Existing Customer
0.0,Attrited Customer
0.09,Existing Customer
0.219,Existing Customer
0.223,Existing Customer
0.05,Existing Customer
0.11,Existing Customer
0.096,Existing Customer
0.684,Existing Customer
0.674,Existing Customer
0.794,Existing Customer
0.055,Existing Customer
0.201,Existing Customer
0.0,Attrited Customer
0.582,Existing Customer
0.611,Existing Customer
0.171,Existing Customer
0.111,Existing Customer
0.065,Existing Customer
0.185,Existing Customer
0.83,Existing Customer
0.315,Existing Customer
0.691,Existing Customer
0.082,Existing Customer
0.473,Existing Customer
0.0,Attrited Customer
0.501,Attrited Customer
0.56,Existing Customer
0.175,Existing Customer
0.094,Existing Customer
0.663,Existing Customer
0.5,Existing Customer
0.435,Existing Customer
0.805,Existing Customer
0.0,Attrited Customer
0.0,Existing Customer
0.727,Existing Customer
0.239,Existing Customer
0.603,Existing Customer
0.202,Existing Customer
0.0,Existing Customer
0.57,Existing Customer
0.27,Existing Customer
0.372,Existing Customer
0.247,Existing Customer
0.737,Existing Customer
0.092,Existing Customer
0.147,Existing Customer
0.79,Existing Customer
0.124,Existing Customer
0.196,Existing Customer
0.09,Existing Customer
0.03,Existing Customer
0.0,Existing Customer
0.258,Existing Customer
0.0,Existing Customer
0.534,Existing Customer
0.36,Existing Customer
0.051,Existing Customer
0.085,Existing Customer
0.093,Existing Customer
0.0,Existing Customer
0.0,Existing Customer
0.599,Attrited Customer
0.237,Existing Customer
0.055,Existing Customer
0.553,Existing Customer
0.544,Existing Customer
0.678,Existing Customer
0.789,Existing Customer
0.115,Existing Customer
0.88,Existing Customer
0.777,Existing Customer
0.171,Existing Customer
0.106,Existing Customer
0.197,Existing Customer
0.0,Existing Customer
0.52,Existing Customer
0.653,Existing Customer
0.11,Existing Customer
0.272,Existing Customer
0.645,Existing Customer
0.016,Existing Customer
0.115,Existing Customer
0.346,Existing Customer
0.0,Existing Customer
0.663,Existing Customer
0.076,Existing Customer
0.721,Existing Customer
0.0,Existing Customer
0.732,Existing Customer
0.138,Attrited Customer
0.0,Attrited Customer
0.266,Existing Customer
0.637,Existing Customer
0.0,Existing Customer
0.043,Existing Customer
0.393,Existing Customer
0.442,Existing Customer
0.0,Existing Customer
0.326,Existing Customer
0.12,Existing Customer
0.583,Existing Customer
0.0,Existing Customer
0.301,Existing Customer
0.023,Attrited Customer
0.025,Existing Customer
0.071,Existing Customer
0.0,Existing Customer
0.252,Existing Customer
0.25,Existing Customer
0.422,Existing Customer
0.036,Existing Customer
0.203,Existing Customer
0.0,Attrited Customer
0.796,Existing Customer
0.296,Existing Customer
0.0,Existing Customer
0.334,Existing Customer
0.0,Attrited Customer
0.0,Attrited Customer
0.352,Existing Customer
0.0,Attrited Customer
0.0,Existing Customer
0.143,Existing Customer
0.525,Existing Customer
0.138,Existing Customer
0.0,Existing Customer
0.464,Existing Customer
0.255,Existing Customer
0.11,Existing Customer
0.608,Existing Customer
0.775,Existing Customer
0.67,Existing Customer
0.187,Existing Customer
0.285,Existing Customer
0.696,Existing Customer
0.624,Existing Customer
0.061,Existing Customer
0.251,Existing Customer
0.0,Attrited Customer
0.157,Existing Customer
0.244,Existing Customer
0.345,Existing Customer
0.672,Existing Customer
0.067,Existing Customer
0.162,Existing Customer
0.284,Existing Customer
0.527,Attrited Customer
0.092,Existing Customer
0.605,Existing Customer
0.174,Existing Customer
0.831,Existing Customer
0.755,Existing Customer
0.214,Existing Customer
0.196,Existing Customer
0.786,Existing Customer
0.026,Existing Customer
0.659,Existing Customer
0.029,Existing Customer
0.179,Existing Customer
0.416,Existing Customer
0.447,Existing Customer
0.0,Existing Customer
0.0,Existing Customer
0.402,Existing Customer
0.458,Existing Customer
0.451,Existing Customer
0.648,Existing Customer
0.62,Existing Customer
0.765,Existing Customer
0.953,Existing Customer
0.079,Existing Customer
0.404,Existing Customer
0.46,Existing Customer
0.0,Existing Customer
0.181,Attrited Customer
0.178,Existing Customer
0.394,Existing Customer
0.755,Existing Customer
0.391,Existing Customer
0.0,Existing Customer
0.0,Existing Customer
0.178,Existing Customer
0.077,Existing Customer
0.073,Existing Customer
0.854,Existing Customer
0.033,Existing Customer
0.127,Existing Customer
0.791,Attrited Customer
0.0,Existing Customer
0.161,Existing Customer
0.174,Existing Customer
0.0,Attrited Customer
0.126,Existing Customer
0.082,Existing Customer
0.363,Existing Customer
0.874,Existing Customer
0.346,Existing Customer
0.341,Existing Customer
0.611,Existing Customer
0.46,Existing Customer
0.0,Existing Customer
0.138,Existing Customer
0.344,Existing Customer
0.208,Existing Customer
0.733,Existing Customer
0.543,Existing Customer
0.0,Attrited Customer
0.046,Existing Customer
0.689,Existing Customer
0.095,Existing Customer
0.586,Existing Customer
0.234,Existing Customer
0.626,Existing Customer
0.054,Existing Customer
0.0,Existing Customer
0.365,Existing Customer
0.317,Existing Customer
0.0,Existing Customer
0.69,Existing Customer
0.0,Existing Customer
0.384,Existing Customer
0.197,Existing Customer
0.526,Existing Customer
0.0,Existing Customer
0.775,Existing Customer
0.031,Existing Customer
0.516,Existing Customer
0.061,Existing Customer
0.748,Existing Customer
0.112,Existing Customer
0.354,Existing Customer
0.349,Existing Customer
0.828,Existing Customer
0.091,Existing Customer
0.233,Existing Customer
0.0,Attrited Customer
0.153,Existing Customer
0.078,Existing Customer
0.0,Existing Customer
0.497,Existing Customer
0.296,Existing Customer
0.258,Existing Customer
0.253,Existing Customer
0.248,Existing Customer
0.339,Existing Customer
0.0,Existing Customer
0.526,Existing Customer
0.0,Existing Customer
0.28,Existing Customer
0.0,Existing Customer
0.764,Existing Customer
0.645,Existing Customer
0.061,Existing Customer
0.473,Existing Customer
0.2,Existing Customer
0.11,Existing Customer
0.261,Existing Customer
0.199,Existing Customer
0.165,Existing Customer
0.705,Existing Customer
0.0,Existing Customer
0.219,Existing Customer
0.575,Existing Customer
0.412,Existing Customer
0.266,Existing Customer
0.057,Existing Customer
0.233,Existing Customer
0.748,Existing Customer
0.667,Existing Customer
0.185,Attrited Customer
0.536,Existing Customer
0.021,Existing Customer
0.276,Existing Customer
0.0,Attrited Customer
0.205,Existing Customer
0.835,Existing Customer
0.073,Existing Customer
0.224,Existing Customer
0.616,Existing Customer
0.174,Attrited Customer
0.381,Existing Customer
0.0,Existing Customer
0.274,Existing Customer
0.1,Existing Customer
0.74,Existing Customer
0.083,Existing Customer
0.0,Existing Customer
0.442,Attrited Customer
0.0,Existing Customer
0.378,Existing Customer
0.596,Existing Customer
0.735,Existing Customer
0.0,Existing Customer
0.827,Existing Customer
0.522,Existing Customer
0.67,Existing Customer
0.0,Existing Customer
0.727,Existing Customer
0.0,Existing Customer
0.711,Existing Customer
0.0,Existing Customer
0.043,Existing Customer
0.553,Existing Customer
0.0,Existing Customer
0.105,Existing Customer
0.136,Existing Customer
0.536,Existing Customer
0.0,Existing Customer
0.068,Existing Customer
0.053,Attrited Customer
0.482,Existing Customer
0.745,Existing Customer
0.0,Existing Customer
0.03,Existing Customer
0.205,Existing Customer
0.242,Existing Customer
0.0,Existing Customer
0.297,Existing Customer
0.231,Existing Customer
0.0,Existing Customer
0.0,Attrited Customer
0.174,Existing Customer
0.697,Existing Customer
0.081,Existing Customer
0.328,Existing Customer
0.333,Existing Customer
0.778,Existing Customer
0.17,Existing Customer
0.636,Existing Customer
0.118,Existing Customer
0.081,Existing Customer
0.06,Existing Customer
0.743,Existing Customer
0.18,Attrited Customer
0.704,Existing Customer
0.165,Existing Customer
0.511,Existing Customer
0.337,Existing Customer
0.79,Existing Customer
0.081,Existing Customer
0.492,Existing Customer
0.715,Existing Customer
0.442,Existing Customer
0.33,Existing Customer
0.059,Existing Customer
0.069,Existing Customer
0.0,Existing Customer
0.0,Attrited Customer
0.0,Existing Customer
0.155,Existing Customer
0.054,Existing Customer
0.488,Existing Customer
0.318,Attrited Customer
0.134,Existing Customer
0.23,Existing Customer
0.45,Existing Customer
0.0,Attrited Customer
0.0,Existing Customer
0.654,Existing Customer
0.465,Existing Customer
0.568,Existing Customer
0.0,Existing Customer
0.187,Existing Customer
0.089,Existing Customer
0.408,Existing Customer
0.328,Existing Customer
0.147,Existing Customer
0.403,Existing Customer
0.553,Existing Customer
0.47,Existing Customer
0.588,Existing Customer
0.087,Existing Customer
0.079,Existing Customer
0.363,Existing Customer
0.0,Existing Customer
0.252,Existing Customer
0.682,Existing Customer
0.145,Existing Customer
0.415,Existing Customer
0.835,Existing Customer
0.452,Existing Customer
0.0,Existing Customer
0.571,Existing Customer
0.671,Existing Customer
0.291,Existing Customer
0.096,Existing Customer
0.289,Existing Customer
0.0,Existing Customer
0.635,Existing Customer
0.75,Existing Customer
0.695,Existing Customer
0.343,Existing Customer
0.6,Existing Customer
0.314,Existing Customer
0.296,Existing Customer
0.173,Existing Customer
0.0,Existing Customer
0.132,Existing Customer
0.142,Attrited Customer
0.0,Existing Customer
0.822,Existing Customer
0.812,Existing Customer
0.265,Existing Customer
0.057,Existing Customer
0.0,Existing Customer
0.549,Existing Customer
0.574,Existing Customer
0.365,Existing Customer
0.048,Existing Customer
0.185,Existing Customer
0.0,Attrited Customer
0.691,Existing Customer
0.055,Existing Customer
0.475,Existing Customer
0.295,Existing Customer
0.237,Existing Customer
0.863,Existing Customer
0.029,Existing Customer
0.1,Existing Customer
0.662,Existing Customer
0.566,Existing Customer
0.112,Existing Customer
0.0,Existing Customer
0.25,Existing Customer
0.317,Existing Customer
0.609,Existing Customer
0.648,Existing Customer
0.994,Existing Customer
0.546,Existing Customer
0.598,Existing Customer
0.497,Existing Customer
0.035,Existing Customer
0.264,Existing Customer
0.34,Existing Customer
0.086,Existing Customer
0.471,Existing Customer
0.04,Attrited Customer
0.791,Existing Customer
0.026,Existing Customer
0.0,Existing Customer
0.114,Existing Customer
0.856,Existing Customer
0.532,Existing Customer
0.0,Existing Customer
0.257,Existing Customer
0.461,Existing Customer
0.785,Existing Customer
0.352,Attrited Customer
0.048,Attrited Customer
0.365,Existing Customer
0.272,Existing Customer
0.09,Existing Customer
0.132,Existing Customer
0.23,Existing Customer
0.0,Existing Customer
0.331,Existing Customer
0.0,Existing Customer
0.709,Existing Customer
0.602,Existing Customer
0.131,Existing Customer
0.341,Existing Customer
0.588,Existing Customer
0.261,Existing Customer
0.445,Existing Customer
0.075,Existing Customer
0.15,Existing Customer
0.073,Existing Customer
0.135,Existing Customer
0.0,Existing Customer
0.14,Existing Customer
0.0,Existing Customer
0.0,Existing Customer
0.072,Existing Customer
0.105,Existing Customer
0.597,Existing Customer
0.646,Existing Customer
0.059,Existing Customer
0.474,Existing Customer
0.06,Existing Customer
0.305,Existing Customer
0.105,Existing Customer
0.297,Existing Customer
0.045,Existing Customer
0.456,Existing Customer
0.865,Existing Customer
0.0,Existing Customer
0.076,Existing Customer
0.0,Existing Customer
0.064,Existing Customer
0.556,Existing Customer
0.742,Existing Customer
0.534,Existing Customer
0.131,Existing Customer
0.098,Existing Customer
0.048,Existing Customer
0.589,Existing Customer
0.798,Existing Customer
0.06,Existing Customer
0.718,Existing Customer
0.117,Existing Customer
0.562,Existing Customer
0.572,Existing Customer
0.196,Existing Customer
0.606,Existing Customer
0.0,Attrited Customer
0.305,Existing Customer
0.758,Existing Customer
0.539,Existing Customer
0.64,Existing Customer
0.047,Existing Customer
0.344,Existing Customer
0.0,Existing Customer
0.109,Existing Customer
0.0,Existing Customer
0.118,Existing Customer
0.165,Existing Customer
0.026,Existing Customer
0.499,Existing Customer
0.334,Existing Customer
0.873,Existing Customer
0.624,Attrited Customer
0.144,Existing Customer
0.0,Existing Customer
0.52,Existing Customer
0.245,Existing Customer
0.487,Attrited Customer
0.295,Existing Customer
0.115,Existing Customer
0.218,Existing Customer
0.23,Existing Customer
0.558,Existing Customer
0.0,Existing Customer
0.49,Existing Customer
0.046,Existing Customer
0.671,Existing Customer
0.404,Existing Customer
0.121,Existing Customer
0.055,Existing Customer
0.342,Existing Customer
0.226,Existing Customer
0.14,Existing Customer
0.609,Existing Customer
0.174,Existing Customer
0.602,Existing Customer
0.711,Existing Customer
0.226,Existing Customer
0.79,Existing Customer
0.878,Attrited Customer
0.303,Existing Customer
0.0,Existing Customer
0.029,Existing Customer
0.171,Existing Customer
0.797,Existing Customer
0.464,Existing Customer
0.327,Existing Customer
0.437,Existing Customer
0.0,Existing Customer
0.771,Existing Customer
0.772,Attrited Customer
0.175,Existing Customer
0.157,Existing Customer
0.7,Existing Customer
0.048,Existing Customer
0.605,Existing Customer
0.934,Attrited Customer
0.055,Existing Customer
0.0,Existing Customer
0.0,Existing Customer
0.363,Existing Customer
0.175,Existing Customer
0.081,Existing Customer
0.0,Existing Customer
0.0,Existing Customer
0.526,Existing Customer
0.0,Existing Customer
0.334,Existing Customer
0.015,Attrited Customer
0.547,Existing Customer
0.699,Existing Customer
0.49,Existing Customer
0.495,Existing Customer
0.0,Attrited Customer
0.692,Existing Customer
0.409,Existing Customer
0.334,Existing Customer
0.084,Existing Customer
0.0,Existing Customer
0.0,Existing Customer
0.0,Attrited Customer
0.344,Existing Customer
0.153,Existing Customer
0.238,Existing Customer
0.606,Existing Customer
0.324,Existing Customer
0.293,Existing Customer
0.354,Existing Customer
0.494,Existing Customer
0.3,Existing Customer
0.477,Existing Customer
0.0,Existing Customer
